Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.256000E+0	6.004617E+1	6.187744E+1	1.000546E+1	1.831262E+0	6.065659E+1	-2.465343E-6	0.000000E+0	-1.185662E-5	-1.000190E-1
3.371000E+0	6.004612E+1	6.218258E+1	1.000410E+1	2.136461E+0	6.075828E+1	-8.209783E-6	0.000000E+0	-2.075948E-5	-3.330709E-1
4.486000E+0	6.004631E+1	6.218216E+1	1.000543E+1	2.135853E+0	6.075826E+1	-1.369239E-6	0.000000E+0	-1.215909E-5	-5.555002E-2
5.603000E+0	6.004589E+1	6.246331E+1	1.000399E+1	2.417425E+0	6.085170E+1	-4.751634E-6	0.000000E+0	-1.110291E-5	-1.927738E-1
6.716000E+0	6.004620E+1	6.247040E+1	1.000539E+1	2.424193E+0	6.085427E+1	3.504316E-6	0.000000E+0	-2.265648E-6	1.421701E-1
7.828000E+0	6.004608E+1	6.275548E+1	1.000522E+1	2.709400E+0	6.094921E+1	1.110403E-5	0.000000E+0	1.254021E-5	4.504903E-1
8.946000E+0	6.004615E+1	6.276462E+1	1.000459E+1	2.718463E+0	6.095231E+1	1.362189E-5	0.000000E+0	1.562385E-5	5.526400E-1
1.006300E+1	6.004611E+1	6.305796E+1	1.000456E+1	3.011852E+0	6.105006E+1	1.434856E-5	0.000000E+0	1.752820E-5	5.821210E-1
1.120800E+1	6.004564E+1	6.305450E+1	1.000533E+1	3.008861E+0	6.104860E+1	2.888468E-5	0.000000E+0	4.965037E-5	1.171851E+0
1.232800E+1	6.004507E+1	6.333809E+1	1.000536E+1	3.293022E+0	6.114274E+1	3.790317E-5	0.000000E+0	7.417588E-5	1.537732E+0
1.344400E+1	6.004564E+1	6.362883E+1	1.000540E+1	3.583187E+0	6.124003E+1	4.648952E-5	0.000000E+0	7.944806E-5	1.886080E+0
1.456200E+1	6.004564E+1	6.390965E+1	1.000534E+1	3.864008E+0	6.133365E+1	4.592851E-5	0.000000E+0	7.843893E-5	1.863320E+0
1.567500E+1	6.004559E+1	6.391726E+1	1.000413E+1	3.871667E+0	6.133614E+1	5.559420E-5	0.000000E+0	9.562669E-5	2.255457E+0
1.678800E+1	6.004557E+1	6.420588E+1	1.000532E+1	4.160309E+0	6.143234E+1	7.283244E-5	0.000000E+0	1.251129E-4	2.954812E+0
1.790800E+1	6.004549E+1	6.449507E+1	1.000433E+1	4.449583E+0	6.152868E+1	6.557611E-5	0.000000E+0	1.141486E-4	2.660423E+0
1.909500E+1	6.004555E+1	6.478916E+1	1.005732E+1	4.743617E+0	6.162675E+1	8.532411E-5	0.000000E+0	1.465201E-4	3.461599E+0
2.026900E+1	6.004534E+1	6.507984E+1	1.005755E+1	5.034506E+0	6.172351E+1	8.289779E-5	1.611400E-5	1.458065E-4	3.363163E+0
2.139100E+1	6.004554E+1	6.537172E+1	1.005618E+1	5.326177E+0	6.182094E+1	1.005327E-4	4.329136E-5	1.722704E-4	4.078613E+0
2.251200E+1	6.004637E+1	6.537324E+1	1.005720E+1	5.326869E+0	6.182199E+1	1.048277E-4	7.335480E-5	1.662324E-4	4.252860E+0
2.363200E+1	6.004569E+1	6.595477E+1	1.005569E+1	5.909078E+0	6.201538E+1	1.141717E-4	1.067853E-4	1.929078E-4	4.631945E+0
2.474800E+1	6.004574E+1	6.595537E+1	1.000533E+1	5.909632E+0	6.201562E+1	1.361147E-4	1.431020E-4	2.292330E-4	5.522174E+0
2.586000E+1	6.004536E+1	6.623884E+1	1.000532E+1	6.193473E+0	6.210986E+1	1.393872E-4	1.433425E-4	2.407914E-4	5.654938E+0
2.698000E+1	6.004548E+1	6.653759E+1	1.000533E+1	6.492111E+0	6.220952E+1	1.445408E-4	1.433425E-4	2.476502E-4	5.864021E+0
2.809600E+1	6.004559E+1	6.683091E+1	1.000532E+1	6.785312E+0	6.230736E+1	1.508460E-4	1.433425E-4	2.564540E-4	6.119822E+0
2.921000E+1	6.004572E+1	6.712132E+1	1.000440E+1	7.075606E+0	6.240425E+1	1.568277E-4	1.433425E-4	2.645268E-4	6.362499E+0
3.032500E+1	6.004578E+1	6.741682E+1	1.000541E+1	7.371036E+0	6.250280E+1	1.701029E-4	1.433425E-4	2.859036E-4	6.901073E+0
3.144100E+1	6.004571E+1	6.789954E+1	1.000444E+1	7.853828E+0	6.266365E+1	1.766356E-4	1.433425E-4	2.981688E-4	7.166108E+0
3.255800E+1	6.004581E+1	6.827143E+1	1.005737E+1	8.225624E+0	6.278768E+1	1.937468E-4	1.433425E-4	3.254711E-4	7.860308E+0
3.371300E+1	6.004642E+1	6.858283E+1	1.005734E+1	8.536402E+0	6.289189E+1	2.025647E-4	1.604185E-4	3.303958E-4	8.218049E+0
3.483600E+1	6.004628E+1	6.886243E+1	1.005735E+1	8.816155E+0	6.298500E+1	2.165409E-4	1.887984E-4	3.563415E-4	8.785065E+0
3.595500E+1	6.004601E+1	6.916046E+1	1.000529E+1	9.114451E+0	6.308416E+1	2.274980E-4	2.205454E-4	3.791568E-4	9.229596E+0
3.707100E+1	6.004625E+1	6.944847E+1	1.000541E+1	9.402219E+0	6.318033E+1	2.335944E-4	2.210264E-4	3.855772E-4	9.476926E+0
3.818800E+1	6.004626E+1	6.973648E+1	1.000418E+1	9.690220E+0	6.327633E+1	2.391184E-4	2.210264E-4	3.948461E-4	9.701033E+0
3.929900E+1	6.004639E+1	7.002756E+1	1.000511E+1	9.981167E+0	6.337345E+1	2.503721E-4	2.210264E-4	4.117007E-4	1.015760E+1
4.041600E+1	6.004606E+1	7.031463E+1	1.000454E+1	1.026857E+1	6.346892E+1	2.614537E-4	2.210264E-4	4.357109E-4	1.060718E+1
4.153300E+1	6.004636E+1	7.060632E+1	1.000532E+1	1.055996E+1	6.356635E+1	2.784429E-4	2.210264E-4	4.595456E-4	1.129643E+1
4.264900E+1	6.004645E+1	7.088708E+1	1.000547E+1	1.084063E+1	6.365999E+1	2.915990E-4	2.210264E-4	4.804136E-4	1.183017E+1
4.376600E+1	6.004630E+1	7.118346E+1	1.000414E+1	1.113717E+1	6.375868E+1	3.043165E-4	2.210264E-4	5.043562E-4	1.234612E+1
4.487700E+1	6.004638E+1	7.147789E+1	1.000553E+1	1.143150E+1	6.385688E+1	3.167158E-4	2.210264E-4	5.238843E-4	1.284916E+1
4.599600E+1	6.004616E+1	7.175940E+1	1.000416E+1	1.171324E+1	6.395057E+1	3.254800E-4	2.210264E-4	5.423187E-4	1.320472E+1
4.711200E+1	6.004638E+1	7.205809E+1	1.000524E+1	1.201171E+1	6.405028E+1	3.307905E-4	2.210264E-4	5.477192E-4	1.342017E+1
4.822600E+1	6.004621E+1	7.234136E+1	1.000501E+1	1.229515E+1	6.414459E+1	3.404480E-4	2.210264E-4	5.667393E-4	1.381197E+1
4.934500E+1	6.004642E+1	7.263876E+1	1.005697E+1	1.259235E+1	6.424387E+1	3.587320E-4	2.210264E-4	5.942996E-4	1.455376E+1
5.050500E+1	6.004619E+1	7.292299E+1	1.005735E+1	1.287680E+1	6.433846E+1	3.706126E-4	2.376214E-4	6.179977E-4	1.503575E+1
5.162300E+1	6.004637E+1	7.321176E+1	1.005734E+1	1.316539E+1	6.443483E+1	3.760805E-4	2.655203E-4	6.243411E-4	1.525758E+1
5.274100E+1	6.004617E+1	7.350011E+1	1.000397E+1	1.345395E+1	6.453081E+1	3.896407E-4	2.967863E-4	6.505687E-4	1.580772E+1
5.385700E+1	6.004640E+1	7.379355E+1	1.000518E+1	1.374715E+1	6.462879E+1	3.909113E-4	2.970268E-4	6.488995E-4	1.585927E+1
5.497100E+1	6.004617E+1	7.407065E+1	1.000380E+1	1.402448E+1	6.472100E+1	4.127427E-4	2.970268E-4	6.894669E-4	1.674497E+1
5.608500E+1	6.004617E+1	7.466072E+1	1.000501E+1	1.461455E+1	6.491769E+1	4.085935E-4	2.970268E-4	6.824586E-4	1.657664E+1
5.720200E+1	6.004626E+1	7.464726E+1	1.000533E+1	1.460100E+1	6.491326E+1	4.379130E-4	2.970268E-4	7.306280E-4	1.776613E+1
5.832400E+1	6.004620E+1	7.495603E+1	1.000521E+1	1.490983E+1	6.501614E+1	4.405343E-4	2.970268E-4	7.360403E-4	1.787248E+1
5.943600E+1	6.004620E+1	7.553137E+1	1.000537E+1	1.548516E+1	6.520792E+1	4.484430E-4	2.970268E-4	7.492758E-4	1.819333E+1
6.055400E+1	6.004560E+1	7.582134E+1	1.000416E+1	1.577574E+1	6.530418E+1	4.526039E-4	2.970268E-4	7.660271E-4	1.836214E+1
6.166600E+1	6.004616E+1	7.611636E+1	1.000528E+1	1.607020E+1	6.540289E+1	4.727273E-4	2.970268E-4	7.910325E-4	1.917855E+1
6.278300E+1	6.004553E+1	7.639660E+1	1.005733E+1	1.635108E+1	6.549589E+1	4.752261E-4	2.970268E-4	8.054072E-4	1.927992E+1
6.390800E+1	6.009924E+1	7.666229E+1	1.005711E+1	1.656305E+1	6.562026E+1	4.967540E-4	3.129003E-4	-2.470632E-5	2.015331E+1
6.504600E+1	6.004605E+1	7.699045E+1	1.005634E+1	1.694440E+1	6.569418E+1	4.969467E-4	3.412802E-4	3.730924E-4	2.016113E+1
6.616800E+1	6.004634E+1	7.729556E+1	1.000533E+1	1.724922E+1	6.579608E+1	4.995093E-4	3.720651E-4	3.698577E-4	2.026509E+1
6.728400E+1	6.004620E+1	7.757896E+1	1.000420E+1	1.753276E+1	6.589046E+1	5.194710E-4	3.723057E-4	4.057904E-4	2.107494E+1
6.839800E+1	6.004609E+1	7.786729E+1	1.000561E+1	1.782120E+1	6.598649E+1	5.327015E-4	3.723057E-4	4.300455E-4	2.161170E+1
6.951600E+1	6.004626E+1	7.814526E+1	1.000533E+1	1.809900E+1	6.607926E+1	5.375449E-4	3.723057E-4	4.353342E-4	2.180820E+1
7.063200E+1	6.004629E+1	7.873358E+1	1.000471E+1	1.868729E+1	6.627539E+1	5.552782E-4	3.723057E-4	4.649181E-4	2.252764E+1
7.174600E+1	6.004631E+1	7.902279E+1	1.000535E+1	1.897648E+1	6.637181E+1	5.601974E-4	3.723057E-4	4.727962E-4	2.272721E+1
7.286600E+1	6.004626E+1	7.931385E+1	1.000389E+1	1.926759E+1	6.646879E+1	5.758263E-4	3.723057E-4	5.001180E-4	2.336127E+1
7.397900E+1	6.004603E+1	7.960862E+1	1.000537E+1	1.956260E+1	6.656689E+1	5.877608E-4	3.723057E-4	5.239688E-4	2.384546E+1
7.509600E+1	6.004599E+1	7.988446E+1	1.000412E+1	1.983847E+1	6.665881E+1	5.972357E-4	3.723057E-4	5.405881E-4	2.422985E+1
7.621500E+1	6.004614E+1	8.018406E+1	1.005699E+1	2.013792E+1	6.675878E+1	6.158124E-4	3.723057E-4	5.695042E-4	2.498351E+1
7.736600E+1	6.004610E+1	8.047284E+1	1.005775E+1	2.042674E+1	6.685501E+1	6.225145E-4	3.891412E-4	5.815017E-4	2.525541E+1
7.849100E+1	6.004622E+1	8.075844E+1	1.000539E+1	2.071222E+1	6.695029E+1	6.391689E-4	4.177616E-4	6.077247E-4	2.593108E+1
7.960700E+1	6.004609E+1	8.105544E+1	1.000535E+1	2.100935E+1	6.704921E+1	6.480276E-4	4.182426E-4	6.247801E-4	2.629048E+1
8.072100E+1	6.004629E+1	8.164134E+1	1.000542E+1	2.159505E+1	6.724464E+1	6.436531E-4	4.182426E-4	6.141297E-4	2.611301E+1
8.183800E+1	6.004631E+1	8.193016E+1	1.000420E+1	2.188385E+1	6.734093E+1	6.685553E-4	4.182426E-4	6.558225E-4	2.712329E+1
8.295500E+1	6.004633E+1	8.221638E+1	1.000538E+1	2.217005E+1	6.743635E+1	6.784027E-4	4.182426E-4	6.722095E-4	2.752280E+1
8.406800E+1	6.004635E+1	8.249651E+1	1.000422E+1	2.245016E+1	6.752974E+1	6.862093E-4	4.182426E-4	6.850878E-4	2.783951E+1
8.518500E+1	6.004634E+1	8.279347E+1	1.000532E+1	2.274713E+1	6.762872E+1	6.946791E-4	4.182426E-4	6.995171E-4	2.818313E+1
