Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.224000E+0	3.997620E+1	4.167283E+1	9.985123E+0	1.696626E+0	4.054174E+1	1.964238E-6	0.000000E+0	1.463807E-5	7.828078E-2
3.345000E+0	3.997691E+1	4.167128E+1	9.984011E+0	1.694367E+0	4.054170E+1	-1.433822E-6	0.000000E+0	-3.733134E-6	-5.714210E-2
4.470000E+0	3.997695E+1	4.167182E+1	9.985067E+0	1.694869E+0	4.054191E+1	6.426841E-6	0.000000E+0	8.499013E-6	2.561289E-1
5.591000E+0	3.997681E+1	4.196230E+1	9.983706E+0	1.985488E+0	4.063864E+1	2.769855E-6	2.438576E-7	5.039794E-6	1.103871E-1
6.717000E+0	3.997688E+1	4.225473E+1	9.984783E+0	2.277848E+0	4.073616E+1	-3.290045E-7	0.000000E+0	-1.330165E-6	-1.311182E-2
7.846000E+0	3.997696E+1	4.254196E+1	9.984952E+0	2.564993E+0	4.083196E+1	-3.652892E-6	2.438576E-7	-8.662732E-6	-1.455787E-1
8.970000E+0	3.997679E+1	4.253564E+1	9.984934E+0	2.558848E+0	4.082974E+1	1.149010E-5	0.000000E+0	2.011851E-5	4.579150E-1
1.008800E+1	3.997687E+1	4.283203E+1	9.983875E+0	2.855158E+0	4.092859E+1	1.850405E-5	2.438576E-7	3.007002E-5	7.374419E-1
1.120600E+1	3.997681E+1	4.312312E+1	9.984907E+0	3.146309E+0	4.102558E+1	1.870037E-5	0.000000E+0	3.135279E-5	7.452660E-1
1.235100E+1	3.997689E+1	4.312400E+1	1.003659E+1	3.147112E+0	4.102592E+1	3.660167E-5	2.438576E-7	6.017638E-5	1.458686E+0
1.347400E+1	3.997675E+1	4.341579E+1	1.003626E+1	3.439049E+0	4.112310E+1	4.222681E-5	0.000000E+0	7.240097E-5	1.682865E+0
1.459200E+1	3.997679E+1	4.370871E+1	1.003664E+1	3.731921E+0	4.122076E+1	5.033228E-5	0.000000E+0	8.522080E-5	2.005892E+0
1.571500E+1	3.997675E+1	4.400058E+1	1.003554E+1	4.023825E+0	4.131803E+1	5.443369E-5	2.438576E-7	9.255730E-5	2.169346E+0
1.684100E+1	3.997676E+1	4.400125E+1	1.003688E+1	4.024488E+0	4.131826E+1	7.196469E-5	0.000000E+0	1.218465E-4	2.868009E+0
1.795900E+1	3.997691E+1	4.429202E+1	1.003687E+1	4.315106E+0	4.141528E+1	7.578537E-5	2.438576E-7	1.258647E-4	3.020274E+0
