Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.229000E+0	2.998873E+1	3.175797E+1	1.000332E+1	1.769244E+0	3.057848E+1	-1.653964E-6	0.000000E+0	-1.323512E-7	-6.736594E-2
3.389000E+0	2.998870E+1	3.175789E+1	1.000352E+1	1.769192E+0	3.057843E+1	2.478231E-6	0.000000E+0	7.359111E-6	1.009383E-1
4.508000E+0	2.998813E+1	3.204395E+1	1.005562E+1	2.055813E+0	3.067340E+1	-4.919833E-6	0.000000E+0	5.434719E-6	-2.003848E-1
5.711000E+0	2.998880E+1	3.204499E+1	1.005445E+1	2.056193E+0	3.067420E+1	-1.188091E-6	1.728308E-5	-6.951237E-7	-4.839095E-2
6.912000E+0	2.998874E+1	3.234301E+1	1.005541E+1	2.354267E+0	3.077350E+1	-3.735004E-6	4.656831E-5	-3.938933E-6	-1.521267E-1
8.040000E+0	2.998809E+1	3.263195E+1	1.005396E+1	2.643864E+0	3.086937E+1	1.076885E-6	7.705375E-5	1.643743E-5	4.386152E-2
9.166000E+0	2.998812E+1	3.263553E+1	1.000364E+1	2.647410E+0	3.087059E+1	1.206586E-5	1.099396E-4	3.443149E-5	4.914425E-1
1.028900E+1	2.998821E+1	3.262914E+1	1.000238E+1	2.640927E+0	3.086852E+1	2.055299E-5	1.111398E-4	5.000498E-5	8.371234E-1
1.140900E+1	2.998810E+1	3.278792E+1	1.000346E+1	2.799826E+0	3.092137E+1	3.315233E-5	1.111398E-4	7.318698E-5	1.350294E+0
1.253300E+1	2.998884E+1	3.293978E+1	1.000347E+1	2.950938E+0	3.097249E+1	4.084491E-5	1.111398E-4	7.250731E-5	1.663613E+0
1.366000E+1	2.998879E+1	3.322908E+1	1.000353E+1	3.240292E+0	3.106889E+1	4.563643E-5	1.111398E-4	8.140802E-5	1.858772E+0
1.478000E+1	2.998855E+1	3.322340E+1	1.000350E+1	3.234855E+0	3.106683E+1	6.062008E-5	1.111398E-4	1.114880E-4	2.469056E+0
