C:\Documents and Settings\Physique des Roches\Mes documents\Jamie\R10\R10-10\trx_10_R10_10_w.DTA
MISTRAS-2001 (r) Location Version 
Version E4.40

Fri Nov 13 09:26:57 2015

 ID     SSSSSSSS.mmmuuun AMP  ABS-ENERGY
  1        0.7245395  44 626.059E+00
  1        2.4623652  38 626.059E+00
  1        2.5262690  40 626.059E+00
  1        3.6139805  41 626.059E+00
  1        3.8350577  43   0.000E+00
  1        3.8684283  44   0.000E+00
  1        3.8718655  43   0.000E+00
  1        3.9152970  44   0.000E+00
  1        4.7303062  43   0.000E+00
  1        4.7941795  40   0.000E+00
  1        5.7857328  41   0.000E+00
  1        5.8258398  43   0.000E+00
  1        6.9665185  41   0.000E+00
  1        9.2526082  50   2.895E+00
  1        9.3489905  42   2.895E+00
  1       11.5991008  44   2.895E+00
  1       13.1897090  52 211.761E+00
  1       13.4739480  44 211.761E+00
  1       13.7659798  43 211.761E+00
  1       13.7979393  41 211.761E+00
  1       15.1350450  57 124.180E+00
  1       16.0085808  49   3.254E+00
  1       18.2499453  44   0.000E+00
  1       19.3665213  44   0.000E+00
  1       19.3987648  41   0.000E+00
  1       20.5884790  43   0.000E+00
  1       22.7490095  47   4.234E+00
  1       25.0336670  39   4.234E+00
  1       27.3920695  41   4.234E+00
  1       29.5708182  43   4.234E+00
  1       29.6594670  43   4.234E+00
  1       30.6583493  41   4.234E+00
  1       30.8528640  42   4.234E+00
  1       31.4103725  51 170.887E+00
  1       32.8704702  42 170.887E+00
  1       34.0597273  41 170.887E+00
  1       37.3874528  43 170.887E+00
  1       39.1599380  42 170.887E+00
  1       39.1863093  43 170.887E+00
  1       39.2396773  46  27.472E+00
  1       39.2596748  44  27.472E+00
  1       39.2799220  44  27.472E+00
  1       39.2996720  43  27.472E+00
  1       39.6705920  42  27.472E+00
  1       40.5896215  43  27.472E+00
  1       41.8498003  47   2.551E+00
  1       42.9692745  44   2.551E+00
  1       44.0124367  50  63.817E+00
  1       45.2539012  41  63.817E+00
  1       48.9984960  45   3.347E+00
  1       49.1184838  45   0.000E+00
  1       50.8865263  51   3.713E+00
  1       52.0052095  50   6.308E+00
  1       54.8174482  45 704.208E-03
  1       54.8541320  45   3.359E+00
  1       54.8974387  46   5.711E+00
  1       54.9174385  45 681.492E-03
  1       54.9674945  45 681.492E-03
  1       54.9741205  45 681.492E-03
  1       54.9877438  45 681.492E-03
  1       55.0040543  46   6.590E+00
  1       55.0174265  46 104.707E+00
  1       55.0341120  46   9.090E+00
  1       55.0541110  46   3.696E+00
  1       55.0673623  45 159.223E+00
  1       55.0974188  46   8.365E+00
  1       55.1041670  46   4.387E+00
  1       55.1174170  46   6.896E+00
  1       55.1341063  46  27.516E+00
  1       55.1507877  46   6.231E+00
  1       55.1674737  45   6.231E+00
  1       55.1774092  46 116.507E+00
  1       55.1907840  45   4.129E+00
  1       55.2174065  45   1.996E+00
  1       55.2241558  45   2.005E+00
  1       55.2473420  46   7.404E+00
  1       55.2774002  45   1.352E+00
  1       55.2940872  45   0.000E+00
  1       55.2973978  46   7.737E+00
  1       55.3173963  46   4.950E+00
  1       55.3373945  45   3.873E+00
  1       55.3441447  45   3.873E+00
  1       55.3573905  46   9.017E+00
  1       55.3707652  45   5.149E+00
  1       55.3973880  45   0.000E+00
  1       55.4073265  45   1.626E+00
  1       55.4240135  45   2.189E+00
  1       55.4441340  45   2.189E+00
  1       55.4540705  45   2.189E+00
  1       55.4840065  44   2.189E+00
  1       57.0171103  44   2.189E+00
  1       57.0437340  45   3.378E+00
  1       57.0571052  45   3.378E+00
  1       57.0937900  45   2.433E+00
  1       57.0971022  46   3.380E+00
  1       57.3870138  46   5.198E+00
  1       57.3970723  45   5.198E+00
  1       57.4170698  45   5.369E+00
  1       57.4370695  46   2.812E+00
  1       57.5036890  45 675.906E-03
  1       57.5236875  46   5.886E+00
  1       57.5469980  45 698.436E-03
  1       57.5537452  45 698.436E-03
  1       57.5737437  45 698.436E-03
  1       57.6036780  46   4.845E+00
  1       57.6269905  45   0.000E+00
  1       57.6636745  45   1.369E+00
  1       57.6770465  45   1.369E+00
  1       57.6836705  46   6.422E+00
  1       57.6972942  45   2.722E+00
  1       57.7172940  46   2.119E+00
  1       57.7370400  45   2.119E+00
  1       57.7403520  45   0.000E+00
  1       57.7603503  46   2.852E+00
  1       57.7737238  45   2.433E+00
  1       57.8269678  46  10.739E+00
  1       57.8436550  45   4.502E+00
  1       57.8469663  47  12.277E+00
  1       57.8669648  46  10.879E+00
  1       57.8836503  45   3.973E+00
  1       57.8969028  45   3.306E+00
  1       57.9169018  46   3.554E+00
  1       57.9368998  46   5.954E+00
  1       57.9469565  46   8.618E+00
  1       58.0036390  46   4.400E+00
  1       58.0269485  46   4.988E+00
  1       58.0469462  46   8.517E+00
  1       58.0568873  46   4.249E+00
  1       58.0669445  46   7.974E+00
  1       58.0869435  46   4.884E+00
  1       58.0968825  46   7.961E+00
  1       58.1102575  44   7.961E+00
  1       58.1269405  45   2.500E+00
  1       58.1568765  46   9.067E+00
  1       58.1669360  45   1.363E+00
  1       58.1768748  46 178.424E+00
  1       58.1902490  45 178.424E+00
  1       58.2069305  46   5.755E+00
  1       58.2236172  45   6.391E+00
  1       58.2368675  46  12.079E+00
  1       58.2535538  46   9.037E+00
  1       58.2669265  45   6.784E+00
  1       58.2803015  45 698.436E-03
  1       58.2968635  46  11.384E+00
  1       58.3102357  46   8.376E+00
  1       58.3269185  47  13.266E+00
  1       58.3402942  45   0.000E+00
  1       58.3602913  46   4.000E+00
  1       58.3735440  45   0.000E+00
  1       58.3836028  46   6.405E+00
  1       58.4069103  47  11.687E+00
  1       58.4202860  46   6.699E+00
  1       58.4368493  47  29.697E+00
  1       58.4502235  45   4.146E+00
  1       58.4668597  47 139.419E+00
  1       58.4802795  46   4.446E+00
  1       58.4968437  46  83.253E+00
  1       58.5102178  45 739.028E-03
  1       58.5268990  46 114.677E+00
  1       58.5402730  46  11.648E+00
  1       58.5568370  47 129.287E+00
  1       58.5702115  45   1.307E+00
  1       58.5868927  47  28.626E+00
  1       58.6002668  47  11.889E+00
  1       58.6168318  46 180.381E+00
  1       58.6302058  46   2.119E+00
  1       58.6468863  48  19.472E+00
  1       58.6602610  47  12.955E+00
  1       58.6768253  47  11.102E+00
  1       58.6902000  46   4.287E+00
  1       58.7068810  47 130.869E+00
  1       58.7202545  47  14.935E+00
  1       58.7368212  46 176.267E+00
  1       58.7568185  47 173.837E+00
  1       58.7668752  48  15.033E+00
  1       58.7802487  47   9.799E+00
  1       58.7968160  45   2.251E+00
  1       58.8101872  46  68.034E+00
  1       58.8268693  48  41.668E+00
  1       58.8402425  47  14.295E+00
  1       58.8569283  46  98.636E+00
  1       58.8768070  46 165.828E+00
  1       58.8868625  47  32.201E+00
  1       58.9002375  47  10.930E+00
  1       58.9168040  46 166.940E+00
  1       58.9334888  45  16.926E+00
  1       58.9468577  47  34.141E+00
  1       58.9602320  46   7.705E+00
  1       58.9769173  46   2.165E+00
  1       58.9969160  45  82.830E+00
  1       59.0068512  47  13.857E+00
  1       59.0268492  47  26.750E+00
  1       59.0368007  46   8.724E+00
  1       59.0568005  46   4.342E+00
  1       59.0668455  47  29.808E+00
  1       59.1268410  45   3.454E+00
  1       59.1468395  46  18.360E+00
  1       59.1635252  46   5.019E+00
  1       60.0167003  45   3.280E+00
  1       60.0266997  45   3.421E+00
  1       60.1166910  45   0.000E+00
  1       60.1867445  45   3.020E+00
  1       60.2766763  45   3.020E+00
  1       60.2967212  44   3.020E+00
  1       60.3166720  46  24.933E+00
  1       60.3234188  44  24.933E+00
  1       60.3366690  46   1.957E+00
  1       60.3567128  46   4.418E+00
  1       60.3767098  46   6.837E+00
  1       60.3833353  46   9.477E+00
  1       60.4167062  45   1.329E+00
  1       60.4233323  45   0.000E+00
  1       60.4367038  46   6.583E+00
  1       60.4567020  46   8.295E+00
  1       60.4833253  46   7.015E+00
  1       60.4866398  45   7.015E+00
  1       60.5033245  45   0.000E+00
  1       60.5200090  46   2.806E+00
  1       60.5366923  46  10.290E+00
  1       60.5566905  47  12.308E+00
  1       60.5600050  45   1.944E+00
  1       60.5766895  45   3.397E+00
  1       60.5966865  46   6.523E+00
  1       60.6166845  46   8.268E+00
  1       60.6233103  46   7.691E+00
  1       60.6366827  46   7.515E+00
  1       60.6566817  46   2.633E+00
  1       60.6766788  45   3.341E+00
  1       60.6833042  46   3.484E+00
  1       60.6966760  46   5.211E+00
  1       60.7100498  44   5.211E+00
  1       60.7366710  46   6.881E+00
  1       60.7466130  44   6.881E+00
  1       60.7566700  46   3.561E+00
  1       60.7766680  45   0.000E+00
  1       60.7966650  46   8.700E+00
  1       60.8032908  45   8.700E+00
  1       60.8166630  46   4.290E+00
  1       60.8366600  45   5.941E+00
  1       60.8566577  47  10.831E+00
  1       60.8632835  46   7.349E+00
  1       60.8766555  46 106.926E+00
  1       60.8900310  46   2.403E+00
  1       60.9100283  44   2.403E+00
  1       60.9232793  45   2.403E+00
  1       60.9366482  46   4.860E+00
  1       60.9566460  47   9.981E+00
  1       60.9766443  47  11.807E+00
  1       60.9900195  45   0.000E+00
  1       60.9966425  46   9.107E+00
  1       61.0166405  46  98.127E+00
  1       61.0366377  47  12.239E+00
  1       61.0432630  47  13.405E+00
  1       61.0566350  47  11.917E+00
  1       61.0766330  46  11.161E+00
  1       61.0966320  46   7.066E+00
  1       61.1032572  46   4.891E+00
  1       61.1166293  47  11.189E+00
  1       61.1333170  44   0.000E+00
  1       61.1500018  45   0.000E+00
  1       61.1632525  45   0.000E+00
  1       61.1766232  47   8.921E+00
  1       61.1899967  46   6.580E+00
  1       61.2099952  46   4.296E+00
  1       61.2299928  46   7.172E+00
  1       61.2366157  46  12.227E+00
  1       61.2566135  46  12.526E+00
  1       61.2733002  45 721.525E-03
  1       61.2966093  46  10.811E+00
  1       61.3099845  45   2.659E+00
  1       61.3366060  46   7.198E+00
  1       69.4597208  50  38.973E+00
  1       69.5429123  45  38.973E+00
  1       75.1831250  43  38.973E+00
  1       75.3164867  45  38.973E+00
  1       75.3231125  46   2.130E+00
  1       75.3364842  45   2.130E+00
  1       75.3564835  45   0.000E+00
  1       75.3664213  45   0.000E+00
  1       75.3931662  45 709.981E-03
  1       75.4067903  46   2.113E+00
  1       75.4364745  46   3.697E+00
  1       75.4564723  46   4.834E+00
  1       75.4764725  45 687.078E-03
  1       75.5164665  46   8.003E+00
  1       75.5364647  46   8.129E+00
  1       75.5531510  46   3.597E+00
  1       75.5564627  46  10.527E+00
  1       75.5698373  45  10.527E+00
  1       75.5964605  46   2.165E+00
  1       75.6564542  46   7.576E+00
  1       75.6764525  47  10.514E+00
