Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.250000E+0	2.004542E+1	9.836085E+1	9.950085E+0	7.831543E+1	4.615056E+1	4.354919E-6	0.000000E+0	5.512987E-6	1.744145E-1
3.371000E+0	2.004552E+1	9.807046E+1	9.950794E+0	7.802495E+1	4.605383E+1	1.218804E-5	0.000000E+0	1.664944E-5	4.881312E-1
4.492000E+0	2.004538E+1	9.778499E+1	9.949787E+0	7.773961E+1	4.595858E+1	1.800320E-5	0.000000E+0	2.895976E-5	7.210280E-1
5.742000E+0	2.004531E+1	9.721527E+1	9.950692E+0	7.716997E+1	4.576863E+1	3.565382E-5	-1.106814E-5	5.976234E-5	1.427935E+0
6.860000E+0	2.004523E+1	9.664453E+1	9.950746E+0	7.659929E+1	4.557833E+1	4.503989E-5	-1.130875E-5	7.677831E-5	1.803848E+0
7.980000E+0	2.004517E+1	9.607164E+1	1.000479E+1	7.602647E+1	4.538732E+1	6.390577E-5	-1.130875E-5	1.095366E-4	2.559426E+0
9.098000E+0	2.004518E+1	9.521698E+1	9.951104E+0	7.517181E+1	4.510245E+1	8.316555E-5	-1.130875E-5	1.414506E-4	3.330780E+0
1.021500E+1	2.004522E+1	9.435434E+1	1.000343E+1	7.430912E+1	4.481492E+1	1.032582E-4	-1.154936E-5	1.771408E-4	4.135492E+0
1.139800E+1	2.004515E+1	9.347975E+1	1.000486E+1	7.343460E+1	4.452335E+1	1.287402E-4	-1.130875E-5	2.208643E-4	5.156045E+0
1.252700E+1	2.004520E+1	9.261924E+1	1.000385E+1	7.257404E+1	4.423655E+1	1.426315E-4	-1.130875E-5	2.427956E-4	5.712392E+0
1.364300E+1	2.004544E+1	9.174750E+1	1.000494E+1	7.170207E+1	4.394613E+1	1.726011E-4	-1.154936E-5	2.886690E-4	6.912674E+0
1.476000E+1	2.004520E+1	9.089269E+1	1.000443E+1	7.084749E+1	4.366103E+1	1.850756E-4	-1.130875E-5	3.135994E-4	7.412280E+0
1.587700E+1	2.004530E+1	9.004478E+1	1.000475E+1	6.999948E+1	4.337846E+1	1.664677E-4	-1.130875E-5	2.810114E-4	6.667030E+0
1.699500E+1	2.004532E+1	8.917667E+1	1.000475E+1	6.913135E+1	4.308910E+1	1.593951E-4	-1.154936E-5	2.686151E-4	6.383774E+0
1.811100E+1	2.004537E+1	8.831549E+1	1.000438E+1	6.827012E+1	4.280208E+1	1.375205E-4	-1.130875E-5	2.313644E-4	5.507698E+0
1.922900E+1	2.004541E+1	8.745286E+1	1.000485E+1	6.740745E+1	4.251456E+1	1.333640E-4	-1.130875E-5	2.234749E-4	5.341226E+0
2.035100E+1	2.004543E+1	8.688176E+1	1.000379E+1	6.683633E+1	4.232421E+1	1.014636E-4	-1.130875E-5	1.699025E-4	4.063617E+0
2.146500E+1	2.004537E+1	8.601779E+1	1.000486E+1	6.597243E+1	4.203618E+1	8.907039E-5	-1.154936E-5	1.506489E-4	3.567269E+0
