Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
1.868000E+0	2.004544E+1	1.985618E+1	1.000434E+1	-1.892548E-1	1.998235E+1	-9.801626E-7	0.000000E+0	-9.307223E-4	-3.910163E-2
2.980000E+0	2.004560E+1	1.985880E+1	1.000356E+1	-1.868068E-1	1.998334E+1	-3.738332E-6	0.000000E+0	-9.338791E-4	-1.491333E-1
4.100000E+0	2.004546E+1	1.985891E+1	1.000473E+1	-1.865487E-1	1.998328E+1	-1.017068E-5	0.000000E+0	-9.311886E-4	-4.057389E-1
5.215000E+0	2.004555E+1	1.985687E+1	1.000424E+1	-1.886793E-1	1.998266E+1	-2.187501E-6	0.000000E+0	-9.328388E-4	-8.726598E-2
6.328000E+0	2.004548E+1	1.985865E+1	1.000479E+1	-1.868248E-1	1.998320E+1	3.398143E-7	0.000000E+0	-9.315115E-4	1.355621E-2
7.445000E+0	2.004555E+1	1.985572E+1	1.000473E+1	-1.898309E-1	1.998227E+1	-9.632452E-7	0.000000E+0	-9.328029E-4	-3.842674E-2
8.560000E+0	2.004548E+1	1.985799E+1	1.000397E+1	-1.874879E-1	1.998298E+1	8.846282E-6	0.000000E+0	-9.315115E-4	3.529047E-1
9.677000E+0	2.004545E+1	1.985773E+1	1.000484E+1	-1.877208E-1	1.998288E+1	3.954544E-6	0.000000E+0	-9.280761E-4	1.577586E-1
1.079000E+1	2.004549E+1	1.985773E+1	1.000389E+1	-1.877627E-1	1.998290E+1	1.071071E-5	0.000000E+0	-9.288653E-4	4.272825E-1
1.190800E+1	2.004538E+1	1.985805E+1	1.000483E+1	-1.873317E-1	1.998293E+1	2.577369E-6	0.000000E+0	-9.267130E-4	1.028190E-1
1.302100E+1	2.004534E+1	1.985500E+1	1.000485E+1	-1.903442E-1	1.998189E+1	8.908439E-6	0.000000E+0	-9.262728E-4	3.553844E-1
1.414100E+1	2.004537E+1	1.985756E+1	1.000473E+1	-1.878127E-1	1.998277E+1	6.630637E-6	0.000000E+0	-9.266054E-4	2.645160E-1
1.525300E+1	2.004553E+1	1.985753E+1	1.000495E+1	-1.879991E-1	1.998287E+1	5.732293E-6	0.000000E+0	-9.298601E-4	2.286784E-1
1.637100E+1	2.004548E+1	1.985756E+1	1.000396E+1	-1.879176E-1	1.998284E+1	-2.204478E-6	0.000000E+0	-9.286501E-4	-8.794325E-2
1.748900E+1	2.004524E+1	1.985773E+1	1.000492E+1	-1.875059E-1	1.998274E+1	1.284020E-5	0.000000E+0	-9.241302E-4	5.122340E-1
1.860400E+1	2.004542E+1	1.985474E+1	1.000487E+1	-1.906756E-1	1.998186E+1	5.545122E-6	0.000000E+0	-9.274663E-4	2.212116E-1
1.971800E+1	2.004537E+1	1.985730E+1	1.000486E+1	-1.880716E-1	1.998268E+1	9.441732E-6	0.000000E+0	-9.268468E-4	3.766590E-1
2.083500E+1	2.004543E+1	2.037806E+1	1.000479E+1	3.326312E-1	2.015631E+1	-9.101059E-6	0.000000E+0	-9.277533E-4	-3.630686E-1
2.194800E+1	2.004538E+1	2.037881E+1	1.000391E+1	3.334320E-1	2.015652E+1	7.355451E-7	0.000000E+0	-9.267130E-4	2.934310E-2
2.306100E+1	2.004542E+1	2.037922E+1	1.000489E+1	3.337993E-1	2.015668E+1	-4.591150E-6	0.000000E+0	-9.274304E-4	-1.831547E-1
2.417800E+1	2.004535E+1	2.020238E+1	1.000494E+1	1.570306E-1	2.009769E+1	-2.054050E-6	0.000000E+0	-9.261032E-4	-8.194223E-2
2.529200E+1	2.004536E+1	2.037956E+1	1.000486E+1	3.341999E-1	2.015676E+1	-2.869714E-6	0.000000E+0	-9.263901E-4	-1.144815E-1
2.641000E+1	2.009788E+1	2.037769E+1	1.000495E+1	2.798070E-1	2.019115E+1	-6.049014E-6	0.000000E+0	-1.914448E-3	-2.413133E-1
2.752100E+1	2.009794E+1	2.020477E+1	1.000382E+1	1.068268E-1	2.013355E+1	-8.128697E-7	0.000000E+0	-2.369634E-3	-3.242781E-2
2.863700E+1	2.009794E+1	2.037942E+1	1.000487E+1	2.814736E-1	2.019177E+1	-3.370133E-6	0.000000E+0	-2.982030E-3	-1.344447E-1
2.975500E+1	2.004530E+1	2.037766E+1	1.000449E+1	3.323626E-1	2.015609E+1	-7.225729E-6	0.000000E+0	-2.751761E-3	-2.882560E-1
