Q(MPa)	Defvolfluide	Q(MPa)	defvol
1.71E+00	3.16E-06	1.44E+02	3.79E-03
1.72E+00	3.16E-06	1.44E+02	3.79E-03
1.71E+00	3.16E-06	1.44E+02	3.82E-03
1.72E+00	3.16E-06	1.43E+02	3.82E-03
2.01E+00	2.82E-05	1.43E+02	3.82E-03
2.00E+00	2.89E-05	1.42E+02	3.82E-03
2.00E+00	3.21E-05	1.42E+02	3.82E-03
2.01E+00	3.79E-05	1.41E+02	3.82E-03
2.01E+00	3.79E-05	1.41E+02	3.82E-03
2.30E+00	4.10E-05	1.40E+02	3.82E-03
2.30E+00	4.69E-05	1.40E+02	3.82E-03
2.30E+00	4.71E-05	1.39E+02	3.82E-03
2.30E+00	4.98E-05	1.39E+02	3.82E-03
2.59E+00	5.51E-05	1.38E+02	3.82E-03
2.59E+00	6.31E-05	1.38E+02	3.82E-03
2.58E+00	6.34E-05	1.37E+02	3.82E-03
2.58E+00	6.34E-05	1.37E+02	3.82E-03
2.87E+00	6.34E-05	1.37E+02	3.82E-03
2.87E+00	6.34E-05	1.36E+02	3.82E-03
2.87E+00	6.34E-05	1.35E+02	3.82E-03
2.87E+00	6.34E-05	1.35E+02	3.82E-03
3.16E+00	6.34E-05	1.35E+02	3.82E-03
3.16E+00	8.72E-05	1.34E+02	3.82E-03
3.17E+00	8.79E-05	1.34E+02	3.82E-03
3.16E+00	8.79E-05	1.33E+02	3.82E-03
3.16E+00	8.79E-05	1.33E+02	3.82E-03
3.16E+00	8.79E-05	1.32E+02	3.82E-03
3.46E+00	8.79E-05	1.32E+02	3.82E-03
3.45E+00	8.79E-05	1.31E+02	3.82E-03
3.46E+00	8.79E-05	1.31E+02	3.82E-03
3.37E+00	8.79E-05	1.30E+02	3.82E-03
3.75E+00	8.79E-05	1.30E+02	3.82E-03
3.66E+00	8.79E-05	1.29E+02	3.82E-03
3.66E+00	8.79E-05	1.29E+02	3.82E-03
3.74E+00	8.79E-05	1.29E+02	3.82E-03
3.74E+00	8.79E-05	1.28E+02	3.82E-03
4.04E+00	8.79E-05	1.27E+02	3.82E-03
4.04E+00	8.79E-05	1.27E+02	3.82E-03
4.04E+00	8.79E-05	1.27E+02	3.82E-03
3.95E+00	8.79E-05	1.26E+02	3.82E-03
3.95E+00	8.79E-05	1.26E+02	3.82E-03
3.95E+00	8.79E-05	1.25E+02	3.82E-03
4.24E+00	8.79E-05	1.25E+02	3.82E-03
4.24E+00	1.11E-04	1.24E+02	3.82E-03
4.24E+00	1.12E-04	1.24E+02	3.82E-03
4.24E+00	1.12E-04	1.23E+02	3.82E-03
4.24E+00	1.12E-04	1.23E+02	3.82E-03
4.54E+00	1.12E-04	1.22E+02	3.82E-03
4.54E+00	1.12E-04	1.22E+02	3.82E-03
4.54E+00	1.12E-04	1.21E+02	3.85E-03
4.54E+00	1.12E-04	1.21E+02	3.85E-03
4.82E+00	1.12E-04	1.21E+02	3.85E-03
4.82E+00	1.12E-04	1.20E+02	3.85E-03
4.82E+00	1.12E-04	1.20E+02	3.85E-03
4.82E+00	1.12E-04	1.19E+02	3.85E-03
5.11E+00	1.12E-04	1.19E+02	3.85E-03
5.11E+00	1.12E-04	1.18E+02	3.85E-03
5.11E+00	1.12E-04	1.18E+02	3.85E-03
5.11E+00	1.15E-04	1.18E+02	3.85E-03
5.39E+00	1.15E-04	1.17E+02	3.85E-03
5.39E+00	1.15E-04	1.17E+02	3.85E-03
5.39E+00	1.15E-04	1.16E+02	3.85E-03
5.68E+00	1.15E-04	1.16E+02	3.85E-03
5.68E+00	1.18E-04	1.15E+02	3.85E-03
5.68E+00	1.23E-04	1.15E+02	3.85E-03
5.68E+00	1.23E-04	1.14E+02	3.85E-03
5.96E+00	1.23E-04	1.14E+02	3.85E-03
5.97E+00	1.23E-04	1.14E+02	3.85E-03
5.97E+00	1.23E-04	1.13E+02	3.85E-03
6.26E+00	1.23E-04	1.13E+02	3.85E-03
6.26E+00	1.23E-04	1.12E+02	3.85E-03
6.26E+00	1.23E-04	1.12E+02	3.88E-03
6.17E+00	1.23E-04	1.11E+02	3.92E-03
6.46E+00	1.23E-04	1.11E+02	3.93E-03
6.54E+00	1.23E-04	1.11E+02	3.93E-03
6.64E+00	1.26E-04	1.10E+02	3.93E-03
6.63E+00	1.26E-04	1.10E+02	3.93E-03
6.93E+00	1.26E-04	1.09E+02	3.93E-03
6.93E+00	1.26E-04	1.09E+02	3.93E-03
6.93E+00	1.29E-04	1.09E+02	3.93E-03
7.21E+00	1.29E-04	1.08E+02	3.93E-03
7.21E+00	1.32E-04	1.08E+02	3.93E-03
7.21E+00	1.38E-04	1.07E+02	3.93E-03
7.49E+00	1.38E-04	1.07E+02	3.93E-03
7.50E+00	1.38E-04	1.07E+02	3.93E-03
7.49E+00	1.38E-04	1.06E+02	3.93E-03
7.79E+00	1.41E-04	1.06E+02	3.93E-03
7.78E+00	1.41E-04	1.05E+02	3.93E-03
7.69E+00	1.44E-04	1.05E+02	3.93E-03
7.99E+00	1.43E-04	1.05E+02	3.93E-03
7.99E+00	1.46E-04	1.04E+02	3.93E-03
7.99E+00	1.46E-04	1.04E+02	3.93E-03
8.28E+00	1.46E-04	1.03E+02	3.93E-03
8.28E+00	1.46E-04	1.03E+02	3.93E-03
8.27E+00	1.49E-04	1.03E+02	3.93E-03
8.56E+00	1.54E-04	1.02E+02	3.93E-03
8.56E+00	1.54E-04	1.02E+02	3.93E-03
8.86E+00	1.57E-04	1.01E+02	3.93E-03
8.85E+00	1.58E-04	1.01E+02	3.93E-03
8.86E+00	1.57E-04	1.01E+02	3.93E-03
9.15E+00	1.57E-04	1.00E+02	3.93E-03
9.15E+00	1.61E-04	9.97E+01	3.93E-03
9.15E+00	1.61E-04	9.94E+01	3.93E-03
9.43E+00	1.61E-04	9.91E+01	3.93E-03
9.43E+00	1.61E-04	9.85E+01	3.93E-03
9.43E+00	1.63E-04	9.82E+01	3.93E-03
9.71E+00	1.63E-04	9.79E+01	3.93E-03
9.72E+00	1.66E-04	9.74E+01	3.93E-03
1.00E+01	1.66E-04	9.71E+01	3.93E-03
1.00E+01	1.66E-04	9.68E+01	3.93E-03
1.00E+01	1.66E-04	9.62E+01	3.93E-03
1.03E+01	1.66E-04	9.59E+01	3.93E-03
1.03E+01	1.66E-04	9.57E+01	3.93E-03
1.03E+01	1.69E-04	9.50E+01	3.93E-03
1.06E+01	1.75E-04	9.47E+01	3.93E-03
1.06E+01	1.83E-04	9.44E+01	3.93E-03
1.09E+01	1.83E-04	9.42E+01	3.93E-03
1.09E+01	1.83E-04	9.36E+01	3.93E-03
1.09E+01	1.86E-04	9.33E+01	3.96E-03
1.12E+01	1.86E-04	9.30E+01	4.00E-03
1.12E+01	1.86E-04	9.24E+01	4.00E-03
1.15E+01	1.89E-04	9.22E+01	4.00E-03
1.15E+01	1.89E-04	9.19E+01	4.00E-03
1.14E+01	1.92E-04	9.16E+01	4.00E-03
1.17E+01	2.30E-04	9.10E+01	4.00E-03
1.17E+01	2.30E-04	9.07E+01	4.00E-03
1.20E+01	2.30E-04	9.04E+01	4.00E-03
1.20E+01	2.33E-04	8.98E+01	4.00E-03
1.22E+01	2.38E-04	8.96E+01	4.00E-03
1.23E+01	2.38E-04	8.93E+01	4.00E-03
1.23E+01	2.41E-04	8.90E+01	4.00E-03
1.26E+01	2.41E-04	8.84E+01	4.00E-03
1.26E+01	2.41E-04	8.81E+01	4.00E-03
1.29E+01	2.41E-04	8.78E+01	4.00E-03
1.29E+01	2.44E-04	8.75E+01	4.00E-03
1.32E+01	2.49E-04	8.70E+01	4.00E-03
1.32E+01	2.57E-04	8.67E+01	4.00E-03
1.32E+01	2.68E-04	8.64E+01	4.00E-03
1.35E+01	2.81E-04	8.58E+01	4.00E-03
1.38E+01	2.81E-04	8.55E+01	4.00E-03
1.38E+01	2.84E-04	8.52E+01	4.00E-03
1.38E+01	2.84E-04	8.49E+01	4.00E-03
1.41E+01	2.84E-04	8.44E+01	4.00E-03
1.41E+01	2.84E-04	8.41E+01	4.00E-03
1.43E+01	2.84E-04	8.38E+01	4.00E-03
1.43E+01	2.84E-04	8.32E+01	4.00E-03
1.46E+01	2.84E-04	8.29E+01	4.00E-03
1.46E+01	2.84E-04	8.26E+01	4.00E-03
1.49E+01	2.88E-04	8.23E+01	4.03E-03
1.49E+01	2.88E-04	8.18E+01	4.03E-03
1.49E+01	2.90E-04	8.16E+01	4.03E-03
1.52E+01	2.90E-04	8.12E+01	4.03E-03
1.52E+01	2.90E-04	8.09E+01	4.03E-03
1.55E+01	2.90E-04	8.02E+01	4.03E-03
1.55E+01	2.90E-04	7.99E+01	4.03E-03
1.58E+01	2.93E-04	7.97E+01	4.03E-03
1.58E+01	2.93E-04	7.94E+01	4.03E-03
1.61E+01	2.93E-04	7.88E+01	4.03E-03
1.61E+01	2.93E-04	7.86E+01	4.03E-03
1.64E+01	2.93E-04	7.82E+01	4.03E-03
1.64E+01	2.96E-04	7.80E+01	4.06E-03
1.67E+01	3.30E-04	7.77E+01	4.11E-03
1.66E+01	3.75E-04	7.71E+01	4.11E-03
1.69E+01	3.77E-04	7.68E+01	4.11E-03
1.69E+01	3.77E-04	7.66E+01	4.11E-03
1.72E+01	3.77E-04	7.63E+01	4.11E-03
1.72E+01	3.80E-04	7.57E+01	4.11E-03
1.75E+01	3.85E-04	7.54E+01	4.11E-03
1.75E+01	3.85E-04	7.51E+01	4.11E-03
1.78E+01	3.85E-04	7.48E+01	4.11E-03
1.78E+01	3.85E-04	7.45E+01	4.11E-03
1.80E+01	3.88E-04	7.40E+01	4.11E-03
1.80E+01	3.94E-04	7.37E+01	4.11E-03
1.84E+01	3.94E-04	7.34E+01	4.11E-03
1.85E+01	3.94E-04	7.31E+01	4.11E-03
1.85E+01	3.94E-04	7.28E+01	4.11E-03
1.88E+01	3.94E-04	7.22E+01	4.11E-03
1.88E+01	4.17E-04	7.19E+01	4.11E-03
1.90E+01	4.45E-04	7.16E+01	4.11E-03
1.90E+01	4.46E-04	7.13E+01	4.11E-03
1.93E+01	4.46E-04	7.11E+01	4.11E-03
1.96E+01	4.46E-04	7.05E+01	4.11E-03
1.96E+01	4.46E-04	7.02E+01	4.11E-03
1.99E+01	4.46E-04	6.99E+01	4.11E-03
1.99E+01	4.46E-04	6.96E+01	4.11E-03
2.02E+01	4.46E-04	6.93E+01	4.11E-03
2.02E+01	4.70E-04	6.90E+01	4.11E-03
2.04E+01	4.71E-04	6.87E+01	4.11E-03
2.07E+01	4.71E-04	6.82E+01	4.11E-03
2.07E+01	4.71E-04	6.79E+01	4.11E-03
2.10E+01	4.71E-04	6.76E+01	4.11E-03
2.10E+01	4.71E-04	6.73E+01	4.11E-03
2.13E+01	4.71E-04	6.70E+01	4.11E-03
2.13E+01	4.71E-04	6.67E+01	4.11E-03
2.16E+01	4.71E-04	6.64E+01	4.11E-03
2.16E+01	4.71E-04	6.58E+01	4.11E-03
2.18E+01	4.71E-04	6.56E+01	4.11E-03
2.21E+01	4.74E-04	6.53E+01	4.11E-03
2.21E+01	4.74E-04	6.50E+01	4.11E-03
2.24E+01	4.74E-04	6.47E+01	4.11E-03
2.24E+01	4.74E-04	6.44E+01	4.14E-03
2.27E+01	4.74E-04	6.41E+01	4.18E-03
2.30E+01	4.74E-04	6.38E+01	4.18E-03
2.30E+01	4.77E-04	6.35E+01	4.18E-03
2.33E+01	4.83E-04	6.32E+01	4.18E-03
2.36E+01	4.83E-04	6.27E+01	4.18E-03
2.36E+01	4.83E-04	6.24E+01	4.18E-03
2.39E+01	4.83E-04	6.21E+01	4.18E-03
2.42E+01	4.86E-04	6.18E+01	4.18E-03
2.42E+01	4.92E-04	6.15E+01	4.18E-03
2.45E+01	4.92E-04	6.12E+01	4.18E-03
2.45E+01	4.92E-04	6.09E+01	4.18E-03
2.47E+01	4.92E-04	6.07E+01	4.18E-03
2.47E+01	4.92E-04	6.04E+01	4.18E-03
2.50E+01	4.95E-04	6.01E+01	4.18E-03
2.53E+01	4.94E-04	5.98E+01	4.18E-03
2.53E+01	4.97E-04	5.95E+01	4.18E-03
2.56E+01	4.97E-04	5.89E+01	4.18E-03
2.59E+01	4.98E-04	5.86E+01	4.18E-03
2.62E+01	4.97E-04	5.83E+01	4.18E-03
2.62E+01	4.97E-04	5.80E+01	4.18E-03
2.65E+01	4.98E-04	5.78E+01	4.18E-03
2.68E+01	5.00E-04	5.74E+01	4.18E-03
2.68E+01	5.06E-04	5.72E+01	4.18E-03
2.70E+01	5.43E-04	5.69E+01	4.18E-03
2.73E+01	5.93E-04	5.66E+01	4.18E-03
2.73E+01	5.95E-04	5.63E+01	4.18E-03
2.76E+01	5.98E-04	5.60E+01	4.18E-03
2.79E+01	5.98E-04	5.57E+01	4.18E-03
2.82E+01	5.98E-04	5.54E+01	4.18E-03
2.82E+01	5.98E-04	5.52E+01	4.18E-03
2.85E+01	5.98E-04	5.49E+01	4.18E-03
2.88E+01	5.98E-04	5.46E+01	4.18E-03
2.91E+01	5.98E-04	5.42E+01	4.18E-03
2.91E+01	5.98E-04	5.40E+01	4.18E-03
2.93E+01	5.98E-04	5.34E+01	4.18E-03
2.95E+01	5.98E-04	5.31E+01	4.22E-03
2.98E+01	5.98E-04	5.28E+01	4.22E-03
2.99E+01	5.98E-04	5.26E+01	4.22E-03
3.03E+01	5.98E-04	5.23E+01	4.22E-03
3.06E+01	5.98E-04	5.20E+01	4.22E-03
3.06E+01	5.98E-04	5.17E+01	4.22E-03
3.12E+01	5.98E-04	5.14E+01	4.22E-03
3.12E+01	5.98E-04	5.11E+01	4.22E-03
3.15E+01	5.98E-04	5.08E+01	4.22E-03
3.18E+01	6.01E-04	5.06E+01	4.22E-03
3.21E+01	6.00E-04	5.03E+01	4.22E-03
3.23E+01	6.00E-04	4.99E+01	4.22E-03
3.25E+01	6.00E-04	4.97E+01	4.22E-03
3.28E+01	6.04E-04	4.94E+01	4.25E-03
3.31E+01	6.04E-04	4.91E+01	4.25E-03
3.34E+01	6.36E-04	4.88E+01	4.25E-03
3.37E+01	6.80E-04	4.85E+01	4.25E-03
3.37E+01	7.06E-04	4.82E+01	4.25E-03
3.43E+01	7.06E-04	4.79E+01	4.25E-03
3.43E+01	7.06E-04	4.76E+01	4.25E-03
3.46E+01	7.06E-04	4.73E+01	4.25E-03
3.48E+01	7.06E-04	4.71E+01	4.25E-03
3.51E+01	7.06E-04	4.68E+01	4.25E-03
3.54E+01	7.30E-04	4.65E+01	4.25E-03
3.57E+01	7.57E-04	4.62E+01	4.25E-03
3.60E+01	7.57E-04	4.59E+01	4.25E-03
3.63E+01	7.57E-04	4.56E+01	4.25E-03
3.66E+01	7.57E-04	4.53E+01	4.25E-03
3.69E+01	7.57E-04	4.50E+01	4.25E-03
3.72E+01	7.57E-04	4.48E+01	4.25E-03
3.74E+01	7.57E-04	4.47E+01	4.25E-03
3.77E+01	7.57E-04	4.45E+01	4.25E-03
3.80E+01	7.57E-04	4.42E+01	4.25E-03
3.83E+01	7.81E-04	4.39E+01	4.25E-03
3.86E+01	7.82E-04	4.36E+01	4.25E-03
3.89E+01	7.82E-04	4.33E+01	4.25E-03
3.92E+01	7.82E-04	4.30E+01	4.25E-03
3.95E+01	7.82E-04	4.27E+01	4.25E-03
