Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.228000E+0	3.998109E+1	4.169031E+1	1.004945E+1	1.709221E+0	4.055083E+1	2.496092E-6	3.157173E-6	6.968937E-6	9.968642E-2
3.353000E+0	3.998133E+1	4.169638E+1	1.004994E+1	1.715048E+0	4.055302E+1	1.513268E-6	3.157173E-6	9.823746E-7	6.043539E-2
4.473000E+0	3.998131E+1	4.168954E+1	9.998008E+0	1.708233E+0	4.055072E+1	2.165654E-6	3.157173E-6	2.552023E-6	8.648974E-2
5.589000E+0	3.998121E+1	4.169705E+1	1.005006E+1	1.715837E+0	4.055316E+1	9.269348E-6	3.157173E-6	1.617300E-5	3.701900E-1
6.771000E+0	3.998127E+1	4.198681E+1	1.004890E+1	2.005543E+0	4.064978E+1	1.519819E-5	2.817170E-5	2.486830E-5	6.069703E-1
7.911000E+0	3.998177E+1	4.198464E+1	1.005037E+1	2.002862E+0	4.064939E+1	2.832057E-5	2.890028E-5	3.795688E-5	1.131039E+0
9.039000E+0	3.998212E+1	4.197850E+1	1.005032E+1	1.996379E+0	4.064758E+1	3.548580E-5	3.205745E-5	4.399655E-5	1.417197E+0
1.016900E+1	3.998120E+1	4.198648E+1	1.004874E+1	2.005277E+0	4.064963E+1	4.576570E-5	3.788608E-5	7.741062E-5	1.827745E+0
1.129500E+1	3.998127E+1	4.198682E+1	1.005004E+1	2.005559E+0	4.064979E+1	6.701818E-5	3.788608E-5	1.116987E-4	2.676505E+0
1.242800E+1	3.998194E+1	4.227705E+1	1.005036E+1	2.295106E+0	4.074698E+1	6.436978E-5	4.104325E-5	9.525920E-5	2.570736E+0
1.359500E+1	3.998112E+1	4.227717E+1	1.004999E+1	2.296048E+0	4.074647E+1	7.375917E-5	4.687188E-5	1.255916E-4	2.945720E+0
1.471500E+1	3.998126E+1	4.228108E+1	1.005007E+1	2.299817E+0	4.074787E+1	8.122543E-5	4.711474E-5	1.358633E-4	3.243900E+0
1.583500E+1	3.998122E+1	4.227710E+1	1.005030E+1	2.295875E+0	4.074652E+1	9.449297E-5	4.978620E-5	1.588169E-4	3.773766E+0
1.701300E+1	3.998112E+1	4.256727E+1	1.005041E+1	2.586148E+0	4.084317E+1	9.726404E-5	5.512910E-5	1.652312E-4	3.884434E+0
1.814100E+1	3.998182E+1	4.256743E+1	9.998091E+0	2.585608E+0	4.084369E+1	1.157519E-4	6.314347E-5	1.838728E-4	4.622782E+0
1.926400E+1	3.998175E+1	4.256434E+1	9.998152E+0	2.582590E+0	4.084261E+1	1.274578E-4	6.338633E-5	2.048144E-4	5.090282E+0
2.038300E+1	3.998206E+1	4.256451E+1	9.997137E+0	2.582455E+0	4.084287E+1	1.389429E-4	6.338633E-5	2.186773E-4	5.548963E+0
2.150300E+1	3.998193E+1	4.285474E+1	9.998133E+0	2.872809E+0	4.093954E+1	1.429250E-4	6.338633E-5	2.275314E-4	5.707995E+0
2.262100E+1	3.998177E+1	4.285485E+1	9.997146E+0	2.873080E+0	4.093946E+1	1.584226E-4	6.338633E-5	2.564653E-4	6.326923E+0
2.374400E+1	3.998196E+1	4.285457E+1	9.998141E+0	2.872604E+0	4.093950E+1	1.641921E-4	6.338633E-5	2.624539E-4	6.557341E+0
2.486800E+1	3.998198E+1	4.285659E+1	9.997128E+0	2.874608E+0	4.094018E+1	1.797914E-4	6.338633E-5	2.883741E-4	7.180330E+0
2.598800E+1	3.998187E+1	4.314096E+1	1.005030E+1	3.159087E+0	4.103490E+1	1.824069E-4	6.338633E-5	2.946626E-4	7.284784E+0
2.710900E+1	3.998122E+1	4.314382E+1	1.004881E+1	3.162596E+0	4.103542E+1	1.999191E-4	8.718656E-5	3.355840E-4	7.984168E+0
2.824000E+1	3.998124E+1	4.314627E+1	9.998247E+0	3.165029E+0	4.103625E+1	2.123483E-4	8.791514E-5	3.561817E-4	8.480555E+0
2.936600E+1	3.998167E+1	4.314120E+1	9.997972E+0	3.159527E+0	4.103485E+1	2.205534E-4	8.791514E-5	3.623015E-4	8.808242E+0
