C:\Documents and Settings\Physique des Roches\Mes documents\Jamie\R10\R-10-15\trx_30_R10_15_w_AE.DTA
MISTRAS-2001 (r) Location Version 
Version E4.40

Fri Jan 08 10:28:12 2016

 ID     SSSSSSSS.mmmuuun AMP  ABS-ENERGY
  1        0.4547768  45   5.866E+00
  1        0.4812745  45   1.324E+00
  1        0.5012715  46   9.203E+00
  1        0.5047093  46   5.652E+00
  1        0.5312065  46  10.800E+00
  1        0.5412187  45  27.936E+00
  1        0.5546423  46   8.953E+00
  1        0.5712012  46  11.450E+00
  1        0.5911992  46   9.652E+00
  1        0.6011380  46  13.706E+00
  1        0.6146345  46  10.669E+00
  1        0.6311478  46  35.068E+00
  1        0.6511457  46   3.575E+00
  1        0.6611290  47  18.765E+00
  1        0.7045625  46   9.391E+00
  1        0.7210768  47  48.223E+00
  1        0.7544960  47  10.065E+00
  1        0.7678695  46   7.892E+00
  1        0.7910533  48  41.611E+00
  1        0.7978057  45  41.611E+00
  1        0.8510007  46   5.464E+00
  1        0.8844192  46  12.177E+00
  1        0.9009350  48  81.694E+00
  1        0.9209327  47 194.454E+00
  1        0.9309163  46  84.830E+00
  1        0.9477265  46   4.237E+00
  1        0.9609268  46 194.865E+00
  1        0.9808515  46  77.250E+00
  1        0.9908647  47  73.110E+00
  1        1.0607968  48  55.744E+00
  1        1.0776075  46  27.789E+00
  1        1.0942143  46  78.210E+00
  1        1.1107740  46  77.146E+00
  1        1.1242693  46  32.895E+00
  1        1.1407868  46 190.280E+00
  1        1.1542043  46  77.229E+00
  1        1.1707638  47  48.601E+00
  1        1.1842188  46  12.817E+00
  1        1.2007035  46  77.026E+00
  1        1.2141973  46  23.145E+00
  1        1.2307158  46  66.432E+00
  1        1.2441333  46  70.175E+00
  1        1.2606918  47  20.557E+00
  1        1.2806890  46  14.565E+00
  1        1.2907090  45  14.565E+00
  1        1.3041253  46  36.037E+00
  1        1.3206845  46  12.999E+00
  1        1.3406433  46  49.516E+00
  1        1.4106125  46   9.364E+00
  1        1.4306110  46   2.909E+00
  1        1.4405508  46   9.533E+00
  1        1.4540070  45   9.533E+00
  1        1.4740057  45   3.220E+00
  1        1.4940035  45   3.220E+00
  1        1.5005408  47  13.809E+00
  1        1.5205383  46  10.126E+00
  1        1.5405360  46  10.375E+00
  1        1.5439743  46   5.202E+00
  1        1.5704713  46  11.810E+00
  1        1.5739105  44   0.000E+00
  1        1.5904705  46   8.215E+00
  1        1.6104672  46   7.785E+00
  1        1.6304650  46   7.348E+00
  1        1.6504628  46   5.965E+00
  1        1.6604025  45   1.821E+00
  1        1.6738975  45   1.821E+00
  1        1.6838347  45 687.078E-03
  1        1.7203928  46   4.272E+00
  1        1.7238303  45   1.329E+00
  1        1.7403900  46   8.592E+00
  1        1.7603878  46   4.937E+00
  1        1.7803855  46   2.905E+00
  1        1.7903240  46   3.437E+00
  1        1.8103208  45   2.439E+00
  1        1.8703138  45   0.000E+00
  1        1.8737500  46   4.332E+00
  1        1.9002490  46   2.141E+00
  1        1.9402453  45   0.000E+00
  1        1.9436818  45   3.476E+00
  1        1.9602423  45 692.850E-03
  1        1.9901783  45   0.000E+00
  1        2.0101763  44   0.000E+00
  1        2.1001047  44   0.000E+00
  1        2.1201012  46   3.449E+00
  1        2.1400968  46   9.951E+00
  1        2.1600963  45   9.951E+00
  1        2.1635333  46   2.149E+00
  1        2.3599510  45   2.149E+00
  1        3.7391688  45   2.566E+00
  1        3.7791625  46   3.521E+00
  1        3.8091020  45   3.521E+00
  1        3.8125360  45   5.302E+00
  1        3.8490953  46   5.692E+00
  1        3.8690925  46  11.160E+00
  1        3.8890893  46   8.788E+00
  1        3.9090880  45   3.402E+00
  1        3.9190252  46  15.135E+00
  1        3.9358357  46  11.221E+00
  1        3.9489635  45  69.832E+00
  1        3.9624610  46  54.059E+00
  1        3.9790185  47  18.669E+00
  1        3.9923970  45  18.669E+00
  1        4.0089550  46  10.059E+00
  1        4.0224515  46   8.658E+00
  1        4.0390110  46  10.900E+00
  1        4.0523858  47  17.088E+00
  1        4.0689478  46  14.294E+00
  1        4.0824463  46   7.132E+00
  1        4.0988825  47 160.984E+00
  1        4.1123785  46  14.445E+00
  1        4.1289403  47 153.442E+00
  1        4.1423160  46  15.048E+00
  1        4.1588762  46 162.737E+00
  1        4.1723725  47  83.033E+00
  1        4.1888157  46 145.510E+00
  1        4.2023088  47  93.035E+00
  1        4.2188688  48 181.479E+00
  1        4.2322450  47  97.349E+00
  1        4.2488055  47 175.598E+00
  1        4.2623015  47  95.413E+00
  1        4.2788615  47 184.329E+00
  1        4.2922363  48 191.042E+00
  1        4.3087980  47 179.424E+00
  1        4.3221760  47 178.037E+00
  1        4.3387340  47 193.731E+00
  1        4.3522295  48 116.077E+00
  1        4.3687907  47 192.749E+00
  1        4.3821667  46 181.142E+00
  1        4.3987263  47 194.669E+00
  1        4.4122233  47 102.165E+00
  1        4.4287842  47 186.960E+00
  1        4.4421595  47 103.957E+00
  1        4.4587208  47 196.524E+00
  1        4.4720950  47 189.294E+00
  1        4.4886563  46 195.764E+00
  1        4.5021515  47 102.645E+00
  1        4.5187123  48 195.858E+00
  1        4.5354028  46  94.255E+00
  1        4.5486493  47 187.871E+00
  1        4.5654607  47  14.018E+00
  1        4.5785858  46 265.723E+00
  1        4.5955202  45 659.148E-03
  1        4.6086427  47 180.045E+00
  1        4.6254542  46   3.214E+00
  1        4.6385773  47 111.432E+00
  1        4.6553890  46  94.712E+00
  1        4.6686353  47 168.222E+00
  1        4.6854495  45   0.000E+00
  1        4.7685030  46  10.261E+00
  1        4.7785623  46  10.253E+00
  1        4.7985628  45 687.078E-03
  1        4.8119362  45   2.011E+00
  1        4.8319340  45   2.028E+00
  1        6.4575310  46   3.438E+00
  1        6.5474612  45   3.438E+00
  1        6.6573867  46   9.621E+00
  1        6.6608240  46   6.487E+00
  1        6.6773850  46   6.074E+00
  1        6.6973830  46   5.616E+00
  1        6.7273185  46   7.516E+00
  1        6.7408158  45   7.516E+00
  1        6.7473173  46   7.321E+00
  1        6.7673150  45   5.256E+00
  1        6.7808117  45   2.681E+00
  1        6.7907490  46   7.437E+00
  1        6.8073102  46   4.618E+00
  1        6.8273080  46   5.652E+00
  1        6.8372460  45   5.470E+00
  1        6.8507407  46  10.811E+00
  1        6.8873010  45   0.000E+00
  1        6.8972383  47  11.694E+00
  1        6.9172357  46  13.258E+00
  1        6.9307327  46   6.390E+00
  1        6.9572310  47  15.099E+00
  1        6.9606690  46   3.521E+00
  1        6.9772285  47  13.809E+00
  1        6.9906050  47  12.027E+00
  1        7.0071645  47  15.690E+00
  1        7.0372217  46 131.748E+00
  1        7.0970962  46  99.749E+00
  1        7.1105893  47  19.886E+00
  1        7.1271508  47 147.262E+00
  1        7.1405262  47 163.182E+00
  1        7.1538990  47  12.137E+00
  1        7.1705483  46 108.402E+00
  1        7.1838370  45   6.489E+00
  1        7.2005197  47  15.232E+00
  1        7.2138945  45   2.978E+00
  1        7.2304582  47 113.659E+00
  1        7.2438293  46  91.975E+00
  1        7.2605122  47  19.116E+00
  1        7.2737675  46  96.932E+00
  1        7.2904475  48 185.380E+00
  1        7.3038220  47  12.921E+00
  1        7.3205057  47  14.022E+00
  1        7.3337595  46   4.300E+00
  1        7.3504407  47  14.791E+00
  1        7.3638150  47  14.964E+00
  1        7.3803807  47 192.322E+00
  1        7.3937503  47  16.636E+00
  1        7.4103972  48  62.646E+00
  1        7.4236880  46 110.486E+00
  1        7.4403715  48 119.964E+00
  1        7.4537432  47  14.387E+00
  1        7.4703090  47 128.108E+00
  1        7.4868685  47 136.275E+00
  1        7.5003630  47  21.935E+00
  1        7.5168840  48 261.108E+00
  1        7.5302995  48 216.994E+00
  1        7.5468602  49 212.658E+00
  1        7.5603197  47  54.243E+00
  1        7.5767998  47 311.350E+00
  1        7.5902920  48 202.573E+00
  1        7.6068147  48  99.881E+00
  1        7.6202340  46 120.354E+00
  1        7.6367902  48 224.245E+00
  1        7.6502457  47  64.964E+00
  1        7.6668060  47 249.667E+00
  1        7.6802233  48  58.771E+00
  1        7.6967447  49 250.223E+00
  1        7.7101643  47 125.643E+00
  1        7.7267212  47 306.301E+00
  1        7.7401770  48  86.312E+00
  1        7.7567340  49 256.771E+00
  1        7.7701525  48 214.837E+00
  1        7.7867128  49 207.115E+00
  1        7.8002090  48  24.268E+00
  1        7.8166543  47 290.535E+00
  1        7.8301058  48 233.760E+00
  1        7.8467050  48 198.579E+00
  1        7.8600857  46 122.009E+00
  1        7.8866575  48 235.980E+00
  1        7.9035123  47  20.766E+00
  1        7.9166370  49 208.414E+00
  1        7.9334480  47  21.700E+00
  1        7.9466510  47 210.925E+00
  1        7.9633867  46  99.093E+00
  1        7.9765890  49 224.591E+00
  1        7.9934410  47  18.249E+00
  1        8.0065693  47 269.097E+00
  1        8.0233785  47  99.355E+00
  1        8.0400608  48  45.083E+00
  1        8.0534360  46   9.187E+00
  1        8.0699967  49 174.999E+00
  1        8.0833695  48  24.465E+00
  1        8.0999970  47  73.874E+00
  1        8.1133085  46  91.306E+00
  1        8.1299900  48  28.629E+00
  1        8.1433655  46  10.721E+00
  1        8.2132947  47  20.433E+00
  1        8.2264267  46  98.668E+00
  1        8.2432332  46   8.510E+00
  1        8.2564780  48 139.659E+00
  1        8.2732895  46   8.254E+00
  1        8.2864168  46 194.673E+00
  1        8.3032250  47  14.210E+00
  1        8.3164705  47 124.021E+00
  1        8.3332843  45 687.078E-03
  1        8.3464082  47  19.238E+00
  1        8.3632190  46  12.098E+00
  1        8.3763475  46   5.642E+00
  1        8.3963437  47  14.468E+00
  1        8.4064007  48  21.115E+00
  1        8.4263977  48  22.472E+00
  1        8.4363388  46   9.881E+00
  1        8.4531495  46   3.689E+00
  1        8.4662783  45   0.000E+00
  1        8.4898295  46   5.138E+00
  1        8.4963305  47  18.949E+00
  1        8.5163285  47  17.223E+00
  1        8.5363253  47  15.145E+00
  1        8.5563230  47  12.437E+00
  1        8.5597623  46   6.397E+00
  1        8.5797593  46   3.400E+00
  1        8.6062605  45   2.599E+00
  1        8.6096950  46   8.782E+00
  1        8.6262565  46   4.226E+00
  1        8.6462540  46   7.170E+00
  1        8.6662518  46   3.585E+00
  1        8.6696885  45   4.152E+00
  1        8.6862503  45 698.436E-03
  1        9.2258850  45   3.159E+00
  1        9.2658795  45   3.159E+00
  1        9.3358105  46   7.352E+00
  1        9.3558078  47  13.280E+00
  1        9.3758042  48  14.932E+00
  1        9.3958027  47  10.583E+00
  1        9.3992417  45  10.583E+00
  1        9.4157997  47  11.271E+00
  1        9.4357980  46   7.979E+00
  1        9.4592325  47   5.946E+00
  1        9.4657352  46   8.451E+00
