C:\Documents and Settings\Physique des Roches\Mes documents\Jamie\R10\R10-16\trx_70_R10_16_w_AE.DTA
MISTRAS-2001 (r) Location Version 
Version E4.40

Wed Jan 20 08:52:19 2016

 ID     SSSSSSSS.mmmuuun AMP  ABS-ENERGY
  1        0.6441865  45   2.738E+00
  1        0.7109288  46   5.573E+00
  1        0.7243020  45   1.983E+00
  1        0.7309282  45   1.391E+00
  1        0.7509280  45   1.391E+00
  1        0.8110430  45   0.000E+00
  1        0.8310405  46  13.220E+00
  1        0.8444162  45  13.220E+00
  1        0.8510400  46   6.617E+00
  1        0.8810982  46   4.059E+00
  1        0.9010968  46   7.815E+00
  1        0.9210983  45   2.709E+00
  1        0.9311575  44   2.709E+00
  1        0.9445295  46   7.344E+00
  1        0.9711535  46   9.096E+00
  1        0.9911537  45   4.169E+00
  1        0.9945885  45   0.000E+00
  1        1.0079633  45   0.000E+00
  1        1.0712310  45   0.000E+00
  1        1.0912673  45   2.715E+00
  1        1.1447212  45   1.269E+00
  1        1.2113428  45   1.269E+00
  1        1.2714570  46   6.225E+00
  1        1.2782078  45   0.000E+00
  1        1.2914560  45   7.843E+00
  1        1.3215148  45 780.550E-03
  1        1.3515725  46   6.174E+00
  1        1.3715715  46   1.420E+00
  1        1.3849443  46   4.220E+00
  1        1.4049448  45   3.895E+00
  1        1.4716843  46   6.013E+00
  1        1.4916828  45   6.134E+00
  1        1.5917972  45   6.134E+00
  1        1.6017827  45   1.989E+00
  1        1.6117965  45   2.704E+00
  1        1.6317955  45 704.208E-03
  1        1.6718385  45   3.955E+00
  1        1.6852120  45   2.665E+00
  1        1.7018963  46   5.457E+00
  1        1.7119105  46   3.344E+00
  1        1.7218973  45   0.000E+00
  1        1.7452828  45   1.989E+00
  1        1.7519535  46   9.351E+00
  1        1.7652812  45  32.408E+00
  1        1.7820145  45   0.000E+00
  1        1.8020115  46   6.160E+00
  1        1.8153848  46   8.380E+00
  1        1.8320235  46  33.115E+00
  1        1.8520220  46  35.227E+00
  1        1.8654427  45   4.833E+00
  1        1.8720670  46   5.063E+00
  1        1.8920663  45   0.000E+00
  1        1.9021250  46   9.732E+00
  1        1.9155003  45   2.670E+00
  1        1.9354985  46   7.330E+00
  1        1.9458090  46   5.169E+00
  1        1.9721820  45 704.208E-03
  1        1.9855545  46  12.289E+00
  1        2.0022413  45  12.289E+00
  1        2.0055545  45   5.174E+00
  1        2.0356120  46   6.577E+00
  1        2.0422385  45   2.005E+00
  1        2.0656710  45   4.587E+00
  1        2.0856698  46   2.875E+00
  1        2.0922950  46   6.340E+00
  1        2.1056675  46   8.782E+00
  1        2.1423518  46   4.255E+00
  1        2.1924105  44   4.255E+00
  1        2.2124085  45   1.978E+00
  1        2.2424677  45   1.978E+00
  1        2.2624647  45   1.341E+00
  1        3.6072015  46   5.970E+00
  1        3.6438870  45   5.970E+00
  1        3.6572600  46   6.682E+00
  1        3.6739450  45 704.208E-03
  1        3.6873185  45   1.335E+00
  1        3.6939420  46   9.161E+00
  1        3.7073165  46   4.983E+00
  1        3.7307515  45   1.357E+00
  1        3.7373742  46   7.854E+00
  1        3.7540120  45   1.994E+00
  1        3.7839960  46  32.909E+00
  1        3.7874330  45   1.983E+00
  1        3.8074305  46   9.867E+00
  1        3.8274297  46   4.097E+00
  1        3.8374890  45   2.067E+00
  1        3.8574863  46   5.872E+00
  1        3.8641120  46   7.481E+00
  1        3.8774855  46   9.028E+00
  1        3.8941248  46  36.113E+00
  1        3.9075442  46   6.835E+00
  1        3.9242302  45   2.760E+00
  1        3.9409170  45   2.593E+00
  1        3.9541677  45   2.593E+00
  1        3.9675415  45   2.572E+00
  1        3.9842243  46  11.489E+00
  1        3.9975990  46   8.112E+00
  1        4.0142375  46  45.219E+00
  1        4.0342820  46  12.304E+00
  1        4.0476548  47  46.080E+00
  1        4.0643402  46   5.803E+00
  1        4.0742790  46  30.358E+00
  1        4.0943998  45   0.000E+00
  1        4.1043363  47  13.186E+00
  1        4.1177303  45   0.000E+00
  1        4.1343958  47  34.484E+00
  1        4.1477692  46   9.368E+00
  1        4.1644537  46  10.912E+00
  1        4.1777860  46  37.564E+00
  1        4.1912022  46   6.509E+00
  1        4.2078420  46   6.508E+00
  1        4.2244503  46  11.440E+00
  1        4.2378418  46   5.744E+00
  1        4.2545085  47  10.517E+00
  1        4.2678410  46  58.241E+00
  1        4.2845660  46   5.320E+00
  1        4.2978987  45  29.588E+00
  1        4.3179397  46  31.160E+00
  1        4.3579542  45  31.160E+00
  1        4.3746197  46  12.300E+00
  1        4.3879958  46   5.369E+00
  1        4.4046797  45   5.369E+00
  1        4.4246788  46   3.417E+00
  1        4.4380515  46   6.697E+00
  1        4.4481117  45   6.697E+00
  1        4.4646760  46   9.068E+00
  1        4.4947342  45   2.633E+00
  1        4.5014825  45   0.000E+00
  1        4.5147325  45   7.140E+00
  1        4.5447910  46   3.588E+00
  1        4.5581648  46   4.305E+00
  1        4.5647892  46   5.104E+00
  1        4.5781630  46   3.241E+00
  1        4.5948462  46   8.105E+00
  1        4.6148445  47  11.955E+00
  1        4.6449028  46   9.628E+00
  1        4.6549640  45   1.335E+00
  1        4.6649010  46  13.310E+00
  1        4.6849028  44  13.310E+00
  1        4.6949587  46 120.169E+00
  1        4.7083347  46   9.551E+00
  1        4.7349572  46   9.610E+00
  1        4.7383925  46   6.408E+00
  1        4.7550785  45   3.285E+00
  1        4.7684517  45   1.341E+00
  1        4.7884490  47  12.479E+00
  1        4.8084482  46  10.829E+00
  1        4.8150737  45   4.005E+00
  1        4.8318825  45   2.777E+00
  1        4.8551925  45   0.000E+00
  1        4.8585047  46  10.091E+00
  1        4.8751900  45  10.091E+00
  1        4.8885625  46   9.457E+00
  1        4.9085608  47  15.996E+00
  1        4.9285610  46   8.151E+00
  1        4.9485610  46   3.235E+00
  1        4.9586198  45   3.235E+00
  1        4.9689312  45   3.235E+00
  1        4.9820547  45   4.953E+00
  1        5.0020535  45   4.953E+00
  1        5.0153015  46 113.205E+00
  1        5.0353000  46  11.336E+00
  1        5.0453602  45   3.289E+00
  1        5.0653578  46   3.334E+00
  1        5.0787320  45   2.241E+00
  1        5.0954168  46   3.209E+00
  1        5.1154142  46  11.226E+00
  1        5.1354135  46   7.903E+00
  1        5.1654710  46   5.594E+00
  1        5.1854705  46   8.371E+00
  1        5.2054697  45   0.000E+00
  1        5.2155283  45   6.878E+00
  1        5.2289018  46   6.014E+00
  1        5.2455883  45  92.271E+00
  1        5.2655860  45   2.039E+00
  1        5.2855845  46   7.464E+00
  1        5.2956458  45   2.090E+00
  1        5.3090195  45 675.906E-03
  1        5.3356413  46   3.507E+00
  1        5.4091335  45   0.000E+00
  1        5.5292455  45   2.454E+00
  1       10.0937805  45   2.454E+00
  1       10.1238385  45   2.454E+00
  1       10.1805205  45   3.818E+00
  1       10.1938943  46   4.232E+00
  1       10.2439525  45   0.000E+00
  1       10.6343125  45   2.449E+00
  1       10.7544230  45   3.391E+00
  1       10.7744242  45   3.391E+00
  1       10.8444792  45   3.391E+00
  1       10.8745355  46   6.913E+00
  1       10.8811615  45  29.017E+00
  1       10.8945360  44  29.017E+00
  1       10.9145335  46  41.332E+00
  1       10.9345753  45   0.000E+00
  1       10.9545755  45   0.000E+00
  1       10.9645890  45   5.066E+00
  1       10.9712585  45   1.901E+00
  1       10.9912593  45   0.000E+00
  1       11.0013180  45   0.000E+00
  1       11.0213145  46  11.387E+00
  1       11.0346465  46  33.612E+00
  1       11.0546868  46  10.046E+00
  1       11.0647028  46   6.149E+00
  1       11.0847040  45   6.149E+00
  1       11.0913700  46  10.586E+00
  1       11.1113700  46   9.959E+00
  1       11.1214293  46  10.774E+00
  1       11.1414278  46  10.669E+00
  1       11.1547583  46  35.185E+00
  1       11.1748025  45  35.185E+00
  1       11.1814268  45  63.717E+00
  1       11.2048610  45   2.539E+00
  1       11.2114828  46  12.051E+00
  1       11.2314830  46  11.723E+00
  1       11.2415418  46  10.203E+00
  1       11.2615417  46   8.941E+00
  1       11.2714805  46   7.935E+00
  1       11.2883662  45   7.935E+00
  1       11.3015390  46   9.492E+00
  1       11.3183495  46   3.448E+00
  1       11.3550315  45   4.737E+00
  1       11.3750293  47  13.609E+00
  1       11.3884055  45  13.609E+00
  1       11.4016525  46   9.536E+00
  1       11.4184630  45   2.567E+00
  1       11.4317103  46  11.100E+00
  1       11.4450855  46  12.108E+00
  1       11.4617240  46  36.970E+00
  1       11.4750978  46  37.964E+00
  1       11.4951425  47  15.930E+00
  1       11.5151410  47  14.485E+00
  1       11.5217648  46  14.819E+00
  1       11.5451993  46  12.461E+00
  1       11.5518240  46   6.506E+00
  1       11.5651985  47  12.576E+00
  1       11.5818833  46   8.953E+00
  1       11.5952560  46  10.990E+00
  1       11.6152555  46  10.322E+00
  1       11.6352545  46   6.623E+00
  1       11.6519393  45   0.000E+00
  1       11.6653125  46  29.908E+00
  1       11.7854258  45   0.000E+00
  1       11.8254248  45   0.000E+00
  1       11.8354840  45   0.000E+00
  1       11.8421078  46   6.350E+00
  1       11.8621068  46   4.250E+00
  1       11.8855410  45   0.000E+00
  1       11.9822195  46   6.624E+00
  1       12.0757105  46   3.288E+00
  1       12.1323925  46   3.164E+00
  1       12.1824503  45   3.164E+00
  1       13.0132383  46   6.173E+00
  1       13.0432973  45   0.000E+00
  1       13.0566695  46   2.761E+00
  1       13.0632940  46  11.781E+00
  1       13.1267253  46   5.088E+00
  1       13.1333520  45   1.335E+00
  1       13.1634105  45 692.850E-03
  1       13.1767827  45   1.928E+00
  1       13.1834060  47  12.215E+00
  1       13.1967808  46   8.207E+00
  1       13.2134678  44   8.207E+00
  1       13.2334638  46   6.301E+00
  1       13.2468377  46  28.358E+00
  1       13.2568508  46   6.634E+00
  1       13.2734605  47  15.045E+00
  1       13.2868507  45   3.729E+00
  1       13.3035208  45   3.453E+00
  1       13.3168933  46   8.867E+00
  1       13.3535757  46  34.705E+00
  1       13.3669065  46  32.047E+00
  1       13.3803265  45  32.047E+00
  1       13.3969637  45   0.000E+00
  1       13.4169622  46   5.555E+00
  1       13.4303822  46   7.109E+00
  1       13.4436315  46  27.434E+00
  1       13.4570040  47  31.499E+00
  1       13.4704565  44  31.499E+00
  1       13.4870192  46  58.556E+00
  1       13.5004370  46   9.238E+00
  1       13.5170753  46  43.997E+00
  1       13.5304973  45   1.391E+00
  1       13.5470745  46   5.413E+00
  1       13.5605555  46   6.208E+00
  1       13.5771170  46  28.765E+00
  1       13.5938005  46  10.478E+00
  1       13.6071743  46   9.605E+00
  1       13.6238593  46  10.060E+00
  1       13.6372330  46   7.321E+00
  1       13.6506070  46   6.166E+00
  1       13.6739170  46   8.399E+00
