C:\Documents and Settings\Physique des Roches\Mes documents\Jamie\R10\R10-3\trx_10_R10_3_W_AE.DTA
MISTRAS-2001 (r) Location Version 
Version E4.40

Wed Oct 21 10:05:10 2015

 ID     SSSSSSSS.mmmuuun AMP  ABS-ENERGY
  1        0.5112410  41 297.445E+03
  1        1.5979435  45 297.445E+03
  1        1.6942785  40 297.445E+03
  1        2.7814200  41 297.445E+03
  1        3.8989555  43 297.445E+03
  1        6.0698552  44   0.000E+00
  1        7.1886437  47   4.428E+00
  1        7.2850972  40   4.428E+00
  1        8.3059953  50   4.957E+00
  1        9.3916810  42   4.957E+00
  1        9.4878220  41   4.957E+00
  1       10.5101173  43   4.957E+00
  1       12.8516963  44   4.957E+00
  1       12.8838465  42   4.957E+00
  1       13.9912168  48   2.060E+00
  1       14.3249740  42   2.060E+00
  1       14.3285358  41   2.060E+00
  1       14.5282660  43   2.060E+00
  1       15.1104358  43   2.060E+00
  1       19.5289302  45   0.000E+00
  1       19.5928420  43   0.000E+00
  1       20.6504395  43   0.000E+00
  1       20.7143415  43   0.000E+00
  1       21.8784910  42   0.000E+00
  1       22.1225445  44   0.000E+00
  1       22.9183938  48   1.946E+00
  1       23.0150420  42   0.000E+00
  1       24.0798872  41   0.000E+00
  1       24.1765487  42   0.000E+00
  1       25.1732043  48   4.092E+00
  1       26.2911525  44   4.092E+00
  1       27.5128278  45   4.092E+00
  1       27.5452510  44   0.000E+00
  1       30.8221713  43   0.000E+00
  1       30.8544653  41   0.000E+00
  1       30.9184818  43   0.000E+00
  1       32.0042587  40   0.000E+00
  1       32.0364113  43   0.000E+00
  1       33.0934265  49   6.751E+00
  1       34.2109000  44   0.000E+00
  1       34.2753700  44   0.000E+00
  1       34.3072425  41   0.000E+00
  1       36.5593755  42   0.000E+00
  1       37.5836902  42   0.000E+00
  1       37.6801083  41   0.000E+00
  1       38.1770742  42   0.000E+00
  1       38.3174940  42   0.000E+00
  1       39.8577050  43   0.000E+00
  1       40.9446753  41   0.000E+00
  1       41.5842662  49  71.483E+00
  1       42.1683623  42  71.483E+00
  1       45.0541388  44  71.483E+00
  1       45.5412247  43  71.483E+00
  1       46.6598025  41  71.483E+00
  1       47.6486095  40  71.483E+00
  1       48.7673725  40  71.483E+00
  1       49.9327442  43   0.000E+00
  1       50.2349870  43   0.000E+00
  1       51.0192985  43   0.000E+00
  1       52.1859665  41   0.000E+00
  1       52.2825138  40   0.000E+00
  1       54.1337785  52 209.366E+00
  1       55.6165588  49   2.396E+00
  1       55.7129438  43   0.000E+00
  1       56.3698342  42   0.000E+00
  1       56.7985465  42   0.000E+00
  1       59.5203493  46  23.188E+00
  1       61.2194420  52   8.276E+00
  1       62.4012618  42   8.276E+00
  1       62.4425785  42   8.276E+00
  1       63.4308048  42   8.276E+00
  1       64.5815157  45   1.443E+00
  1       64.6773180  41   1.443E+00
  1       65.6985730  52   9.035E+00
  1       65.7630430  43   9.035E+00
  1       65.7951748  41   9.035E+00
  1       66.8175915  43   9.035E+00
  1       66.8814883  44   9.035E+00
  1       69.0706423  41   0.000E+00
  1       69.1670960  43   0.000E+00
  1       71.0374315  56 409.130E+00
  1       71.3453643  41 409.130E+00
  1       73.5810130  43 409.130E+00
  1       73.6769285  41 409.130E+00
  1       75.8656323  42 409.130E+00
  1       76.9853557  45   0.000E+00
  1       78.1569490  44   0.000E+00
  1       78.2083172  44   0.000E+00
  1       79.2062622  43   0.000E+00
  1       79.2704375  41   0.000E+00
  1       80.3660040  43   0.000E+00
  1       81.4837522  49   2.823E+00
  1       81.5476255  44   2.823E+00
  1       82.6670683  43   2.823E+00
  1       83.4498410  49 209.468E+00
  1       83.7266032  44 209.468E+00
  1       84.8167852  41 209.468E+00
  1       85.9688350  44 209.468E+00
  1       87.0866845  52  13.833E+00
  1       87.1506265  46   1.715E+00
  1       89.2993757  39   1.715E+00
  1       90.4508927  46   1.448E+00
  1       91.5715938  44   1.448E+00
  1       92.7613475  42   1.448E+00
  1       92.7937802  42   1.448E+00
  1       93.8269255  50   6.906E+00
  1       93.8908388  42   6.906E+00
  1       94.9209597  42   0.000E+00
  1       96.1129505  49   2.194E+00
  1       96.7826713  43   2.194E+00
  1       96.8129830  40   2.194E+00
  1       98.2930308  44   2.194E+00
  1       98.5932385  43   2.194E+00
  1       99.4134758  45   2.194E+00
  1      100.5715095  45   2.194E+00
  1      100.6673103  44   2.194E+00
  1      103.9337133  44   2.194E+00
  1      105.0512250  49   2.460E+00
  1      105.1156740  44   2.460E+00
  1      106.1367942  44   0.000E+00
  1      106.2329838  40   0.000E+00
  1      107.3934642  44   0.000E+00
  1      107.4668295  45   0.000E+00
  1      107.4835148  44   0.000E+00
  1      108.4239405  41   0.000E+00
  1      108.5202880  43   0.000E+00
  1      109.1038988  47 166.050E+00
  1      109.6158430  42 166.050E+00
  1      110.6381008  43 166.050E+00
  1      111.7592837  47 755.413E-03
  1      112.9244655  42 755.413E-03
  1      113.0208282  44 755.413E-03
  1      115.8438355  50  21.135E+00
  1      116.2578427  60 837.295E+00
  1      116.2782783  50   5.331E+00
  1      117.3987018  50   7.842E+00
  1      119.6217733  42   0.000E+00
  1      120.7805083  43   0.000E+00
  1      121.8989900  47   1.768E+00
  1      121.9628915  43   1.768E+00
  1      121.9950157  41   1.768E+00
  1      123.0192650  47 920.945E-03
  1      124.2202793  46   1.611E+00
  1      125.2414178  43   1.611E+00
  1      126.4630255  44   0.000E+00
  1      126.4954025  42   0.000E+00
  1      127.5829448  44   0.000E+00
  1      128.6233110  49   4.272E+00
  1      131.0046297  44   0.000E+00
  1      132.1127700  50   3.782E+00
  1      132.2091128  45   0.000E+00
  1      132.6817497  42   0.000E+00
  1      133.2323915  50   3.122E+00
  1      133.3288973  49   2.235E+00
  1      133.4571015  47  19.613E+00
  1      134.3521205  43  19.613E+00
  1      134.4486095  42  19.613E+00
  1      135.4454175  43  19.613E+00
  1      136.3049735  48  13.082E+00
  1      136.5960433  45  13.082E+00
  1      137.7159995  51   3.705E+00
  1      137.8119830  43   3.705E+00
  1      138.6077488  44   3.705E+00
  1      138.6644308  43   3.705E+00
  1      138.8090142  42   3.705E+00
  1      141.0505020  41   3.705E+00
  1      142.1700133  45   0.000E+00
  1      143.3100008  49   1.324E+00
  1      144.5031198  41   1.324E+00
  1      146.7363395  43   1.324E+00
  1      146.8326767  42   1.324E+00
  1      147.8306340  41   1.324E+00
  1      149.0534248  48   2.124E+00
  1      150.1738270  44   2.124E+00
  1      150.9203220  42   2.124E+00
  1      151.2302958  41   2.124E+00
  1      151.2947783  44   2.124E+00
  1      152.3508163  42   2.124E+00
  1      152.4152888  43   2.124E+00
  1      153.5327578  43   2.124E+00
  1      154.6543265  44   2.124E+00
  1      155.6745050  44   0.000E+00
  1      156.7922067  45  19.725E+00
  1      156.8690513  40  19.725E+00
  1      157.9338795  45   0.000E+00
  1      158.0621168  39   0.000E+00
  1      159.0852670  45   0.000E+00
  1      160.2021385  50   3.659E+00
  1      160.2984853  41   0.000E+00
  1      161.3227888  44   0.000E+00
  1      161.3867127  40   0.000E+00
  1      161.4191200  43   0.000E+00
  1      162.4066985  43   0.000E+00
  1      163.5352788  40   0.000E+00
  1      163.5998285  41   0.000E+00
  1      165.8260335  42   0.000E+00
  1      165.9221240  44   0.000E+00
  1      166.4367178  49  47.832E+00
  1      166.9535805  41  47.832E+00
  1      168.0399690  43  47.832E+00
  1      169.1584668  44   0.000E+00
  1      169.3566280  43   0.000E+00
  1      169.6482947  46  37.653E+00
  1      170.4125655  42  37.653E+00
  1      174.9224273  41  37.653E+00
  1      177.0309423  42  37.653E+00
  1      178.2227463  44   0.000E+00
  1      178.2870538  41   0.000E+00
  1      179.3205665  42   0.000E+00
  1      180.4911503  40   0.000E+00
  1      180.5875065  41   0.000E+00
  1      181.5836858  42   0.000E+00
  1      182.7404010  45 501.250E-03
  1      182.8367545  42 501.250E-03
  1      183.8244998  46 738.655E-03
  1      184.9443348  43   0.000E+00
  1      186.0614508  43   0.000E+00
  1      186.0936585  43   0.000E+00
  1      187.2113980  52   4.284E+00
  1      187.3078238  42   4.284E+00
  1      189.9882103  42   4.284E+00
  1      189.9948313  45   4.284E+00
  1      190.5441892  44   4.284E+00
  1      190.6081732  41   4.284E+00
  1      191.7988965  42   4.284E+00
  1      192.8310130  44   4.284E+00
  1      192.8955037  41   4.284E+00
  1      192.9273668  42   4.284E+00
  1      194.0141255  43   4.284E+00
  1      195.2294085  50 163.534E+00
  1      195.3218205  47  32.881E+00
  1      195.5311678  57 564.202E+00
  1      196.2580555  40 564.202E+00
  1      196.2905923  40 564.202E+00
  1      197.3665262  41 564.202E+00
  1      199.5554608  44 564.202E+00
  1      200.6734908  44 564.202E+00
  1      200.7374155  41 564.202E+00
  1      201.7940365  42   0.000E+00
  1      202.9241245  44   0.000E+00
  1      203.0204658  49   2.853E+00
  1      204.0371678  46   2.563E+00
  1      204.0439315  42   2.563E+00
  1      204.1078233  43   2.563E+00
  1      204.1403200  42   0.000E+00
  1      207.4193313  42   0.000E+00
  1      209.6896033  44   0.000E+00
  1      210.8271308  52   7.829E+00
  1      210.8910650  43   7.829E+00
  1      210.9234872  40   7.829E+00
  1      211.9461020  50   5.690E+00
  1      212.0100278  45   0.000E+00
  1      213.1282470  44   0.000E+00
  1      215.2995692  42   0.000E+00
  1      215.3313073  41   0.000E+00
  1      215.6389020  58   1.426E+03
  1      216.4912870  41   1.426E+03
  1      216.5231448  42   1.426E+03
  1      218.7131978  40   1.426E+03
  1      219.7989203  44   0.000E+00
  1      219.8952750  40   0.000E+00
  1      221.0228088  43   0.000E+00
  1      221.3778977  51 251.139E+00
  1      223.1323180  43 251.139E+00
  1      224.3229243  41 251.139E+00
  1      224.7014010  42 251.139E+00
  1      225.6433155  55 305.969E+00
  1      227.6479400  43 305.969E+00
  1      227.7118463  48   3.188E+00
  1      229.9534810  40   3.188E+00
  1      230.0800857  52  32.789E+00
  1      231.0482223  43  32.789E+00
  1      231.1127030  44  32.789E+00
  1      232.6015997  43  32.789E+00
  1      233.2685765  45 536.442E-03
  1      233.3002590  41 536.442E-03
  1      233.3966213  40 536.442E-03
  1      235.0822140  55 251.820E+00
  1      235.5211838  47   1.744E+00
  1      236.6402687  41   1.744E+00
  1      237.6454252  46  22.209E+00
  1      237.7895057  44   0.000E+00
  1      238.9274182  47   5.697E+00
  1      238.9913000  45   5.697E+00
  1      240.1091930  42   5.697E+00
  1      242.2870448  49   9.747E+00
  1      242.3509410  43   9.747E+00
  1      242.3801648  44   9.747E+00
  1      243.4676863  43   9.747E+00
  1      244.4901887  47   1.487E+00
  1      246.7692823  40   1.487E+00
  1      247.6865658  54 166.047E+00
