Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
1.875000E+0	5.660837E+0	5.755962E+0	1.496399E+0	9.512528E-2	5.692546E+0	-1.952440E-6	-3.021767E-5	3.474078E-4	-7.809761E-2
2.996000E+0	5.607393E+0	5.755962E+0	1.496372E+0	1.485697E-1	5.656916E+0	-9.028239E-7	-7.554417E-5	2.067411E-3	-3.611295E-2
4.114000E+0	5.660723E+0	5.755848E+0	1.496319E+0	9.512537E-2	5.692431E+0	4.999615E-6	-1.442650E-4	2.395970E-3	1.999846E-1
5.232000E+0	5.714817E+0	5.924832E+0	1.496248E+0	2.100154E-1	5.784822E+0	7.138680E-7	-2.361365E-4	2.593018E-3	2.855472E-2
6.353000E+0	5.821377E+0	5.927048E+0	1.496363E+0	1.056711E-1	5.856601E+0	2.446936E-6	-3.514023E-4	1.458561E-3	9.787742E-2
7.550000E+0	5.874591E+0	5.926185E+0	1.496257E+0	5.159422E-2	5.891789E+0	1.446050E-7	-4.998100E-4	1.394090E-3	5.784201E-3
8.690000E+0	5.928667E+0	6.097902E+0	1.548438E+0	1.692354E-1	5.985079E+0	-8.556061E-6	-6.672256E-4	1.291062E-3	-3.422425E-1
9.833000E+0	5.981845E+0	6.098191E+0	1.548376E+0	1.163452E-1	6.020627E+0	-8.506272E-6	-8.317170E-4	9.253021E-4	-3.402509E-1
1.095300E+1	5.981818E+0	6.096953E+0	1.548331E+0	1.151348E-1	6.020196E+0	-1.101013E-5	-1.018384E-3	9.558755E-4	-4.404054E-1
1.207000E+1	5.981863E+0	6.098191E+0	1.601456E+0	1.163275E-1	6.020639E+0	-1.070314E-5	-1.228202E-3	9.548936E-4	-4.281255E-1
1.318700E+1	5.981836E+0	6.094852E+0	1.600753E+0	1.130163E-1	6.019508E+0	-5.207417E-6	-1.439969E-3	9.554828E-4	-2.082967E-1
1.430600E+1	5.981800E+0	6.097930E+0	1.601722E+0	1.161303E-1	6.020510E+0	-5.732603E-6	-1.674400E-3	9.560142E-4	-2.293041E-1
1.542500E+1	5.981284E+0	6.094910E+0	1.653931E+0	1.136255E-1	6.019159E+0	-2.050073E-6	-1.932225E-3	9.671972E-4	-8.200291E-2
1.654900E+1	5.981640E+0	6.098190E+0	1.708648E+0	1.165498E-1	6.020490E+0	-1.036776E-5	-2.199067E-3	9.594766E-4	-4.147106E-1
1.769400E+1	5.981640E+0	6.097873E+0	1.708932E+0	1.162329E-1	6.020385E+0	-9.934341E-6	-2.460060E-3	9.597203E-4	-3.973737E-1
1.881000E+1	5.982032E+0	6.098191E+0	1.760776E+0	1.161586E-1	6.020752E+0	-5.510030E-6	-2.742741E-3	9.509809E-4	-2.204012E-1
1.992800E+1	5.982084E+0	6.097096E+0	1.760793E+0	1.150117E-1	6.020422E+0	-5.305801E-6	-3.027859E-3	9.500980E-4	-2.122320E-1
2.110100E+1	5.981942E+0	6.098219E+0	1.813793E+0	1.162764E-1	6.020701E+0	-1.075574E-5	-3.363178E-3	9.529343E-4	-4.302296E-1
2.226200E+1	5.981809E+0	6.097700E+0	1.866482E+0	1.158916E-1	6.020439E+0	-4.598185E-6	-3.673640E-3	9.555845E-4	-1.839274E-1
2.338500E+1	5.981897E+0	6.094333E+0	1.920869E+0	1.124361E-1	6.019376E+0	-1.466444E-7	-3.987514E-3	9.539058E-4	-5.865775E-3
2.450700E+1	5.982068E+0	6.097759E+0	1.972962E+0	1.156910E-1	6.020631E+0	-6.434281E-6	-4.302606E-3	9.499724E-4	-2.573712E-1
2.562700E+1	5.981934E+0	6.096031E+0	2.026700E+0	1.140978E-1	6.019966E+0	-7.411017E-6	-4.617942E-3	9.531203E-4	-2.964407E-1
2.674900E+1	5.981925E+0	6.098133E+0	2.026371E+0	1.162076E-1	6.020661E+0	-1.138983E-5	-4.934740E-3	9.533063E-4	-4.555930E-1
2.786700E+1	5.928774E+0	6.094996E+0	2.079789E+0	1.662225E-1	5.984181E+0	-6.335805E-6	-5.280050E-3	2.105112E-3	-2.534322E-1
2.901000E+1	5.928800E+0	6.098420E+0	2.134426E+0	1.696195E-1	5.985340E+0	-5.672221E-6	-5.621218E-3	2.499566E-3	-2.268888E-1
3.012700E+1	5.981203E+0	6.095024E+0	2.186091E+0	1.138209E-1	6.019143E+0	-9.558546E-6	-5.963360E-3	1.849409E-3	-3.823418E-1
3.124900E+1	5.981303E+0	6.097356E+0	2.238674E+0	1.160534E-1	6.019987E+0	-1.059796E-5	-6.309644E-3	1.866257E-3	-4.239185E-1
3.237400E+1	5.981401E+0	6.093702E+0	2.291407E+0	1.123009E-1	6.018835E+0	-3.920593E-6	-6.655198E-3	1.864118E-3	-1.568237E-1
3.349800E+1	5.981445E+0	6.096954E+0	2.345181E+0	1.155084E-1	6.019948E+0	-3.953947E-6	-7.002945E-3	1.862923E-3	-1.581579E-1
3.461700E+1	5.981339E+0	6.093645E+0	2.450834E+0	1.123057E-1	6.018775E+0	-5.588732E-6	-7.349717E-3	1.865218E-3	-2.235493E-1
3.573900E+1	5.981863E+0	6.097817E+0	2.504047E+0	1.159535E-1	6.020514E+0	-1.170014E-5	-7.678456E-3	1.853869E-3	-4.680055E-1
3.688300E+1	5.981880E+0	6.098075E+0	2.558710E+0	1.161945E-1	6.020612E+0	-6.941676E-6	-8.013531E-3	1.853497E-3	-2.776670E-1
3.800100E+1	5.981916E+0	6.097989E+0	2.610758E+0	1.160723E-1	6.020607E+0	-1.102449E-5	-8.342514E-3	1.852712E-3	-4.409798E-1
3.913500E+1	5.981400E+0	6.097471E+0	2.716047E+0	1.160708E-1	6.020090E+0	-9.471517E-6	-8.678807E-3	1.863661E-3	-3.788607E-1
4.025900E+1	5.981561E+0	6.094220E+0	2.771155E+0	1.126592E-1	6.019114E+0	-6.442161E-6	-8.990975E-3	1.860178E-3	-2.576864E-1
4.138100E+1	5.982086E+0	6.097012E+0	2.823186E+0	1.149255E-1	6.020395E+0	-5.272572E-6	-9.303387E-3	1.849032E-3	-2.109029E-1
4.250100E+1	5.981909E+0	6.094768E+0	2.931508E+0	1.128589E-1	6.019528E+0	-6.932786E-6	-9.617261E-3	1.852877E-3	-2.773115E-1
4.362800E+1	5.981865E+0	6.098106E+0	2.988174E+0	1.162409E-1	6.020612E+0	-1.051152E-5	-9.893119E-3	1.853584E-3	-4.204610E-1
4.474800E+1	5.981908E+0	6.094594E+0	3.039794E+0	1.126865E-1	6.019470E+0	-3.275237E-6	-9.902135E-3	1.852898E-3	-1.310095E-1
4.589300E+1	5.981615E+0	6.098105E+0	3.039838E+0	1.164900E-1	6.020445E+0	-2.546433E-6	-9.902135E-3	1.859254E-3	-1.018573E-1
4.700500E+1	5.928979E+0	6.097904E+0	3.039918E+0	1.689242E-1	5.985287E+0	-1.118848E-5	-9.902379E-3	2.999877E-3	-4.475393E-1
4.812500E+1	5.928729E+0	6.098248E+0	3.039642E+0	1.695187E-1	5.985235E+0	-3.710284E-6	-9.902135E-3	3.399107E-3	-1.484114E-1
4.924100E+1	5.981391E+0	6.094968E+0	3.039936E+0	1.135766E-1	6.019250E+0	-6.021257E-6	-9.902135E-3	2.743094E-3	-2.408503E-1
5.035600E+1	5.981597E+0	6.098077E+0	3.039501E+0	1.164792E-1	6.020424E+0	-1.402799E-5	-9.902135E-3	2.755190E-3	-5.611197E-1
5.147300E+1	5.981419E+0	6.094853E+0	2.988431E+0	1.134343E-1	6.019230E+0	-4.915042E-6	-9.902379E-3	2.758822E-3	-1.966017E-1
5.259000E+1	5.982201E+0	6.097817E+0	2.988333E+0	1.156154E-1	6.020740E+0	-1.181827E-5	-9.902379E-3	2.742106E-3	-4.727307E-1
5.370800E+1	5.981764E+0	6.098132E+0	2.988377E+0	1.163675E-1	6.020553E+0	-4.380227E-6	-9.902379E-3	2.751573E-3	-1.752091E-1
5.482700E+1	5.981835E+0	6.097614E+0	2.988501E+0	1.157782E-1	6.020428E+0	-1.133341E-5	-9.902135E-3	2.750033E-3	-4.533364E-1
5.594500E+1	5.981942E+0	6.097096E+0	2.988546E+0	1.151542E-1	6.020327E+0	-8.441741E-6	-9.902135E-3	2.747474E-3	-3.376696E-1
5.706500E+1	5.981623E+0	6.094939E+0	2.988404E+0	1.133165E-1	6.019395E+0	-4.899213E-6	-9.902135E-3	2.754399E-3	-1.959685E-1
5.817800E+1	5.981748E+0	6.097040E+0	2.988244E+0	1.152919E-1	6.020179E+0	-1.036279E-5	-9.902135E-3	2.751680E-3	-4.145115E-1
5.929900E+1	5.981705E+0	6.093732E+0	2.988405E+0	1.120276E-1	6.019047E+0	-1.187064E-5	-9.902135E-3	2.752621E-3	-4.748255E-1
6.041700E+1	5.981554E+0	6.096926E+0	2.988227E+0	1.153725E-1	6.020012E+0	-6.451884E-6	-9.902379E-3	2.755887E-3	-2.580753E-1
6.153400E+1	5.981562E+0	6.095113E+0	2.988369E+0	1.135513E-1	6.019413E+0	-3.962132E-6	-9.902379E-3	2.755711E-3	-1.584853E-1
6.264800E+1	5.981563E+0	6.095718E+0	2.988387E+0	1.141554E-1	6.019614E+0	-7.705872E-6	-9.902135E-3	2.755701E-3	-3.082349E-1
6.376400E+1	5.981641E+0	6.097156E+0	2.988298E+0	1.155142E-1	6.020146E+0	-7.463508E-6	-9.902135E-3	2.753996E-3	-2.985403E-1
6.488200E+1	5.981694E+0	6.096781E+0	2.988307E+0	1.150868E-1	6.020057E+0	-4.210595E-6	-9.902135E-3	2.752605E-3	-1.684238E-1
6.600500E+1	5.928846E+0	6.097156E+0	2.988120E+0	1.683096E-1	5.984949E+0	-4.702584E-6	-9.902135E-3	3.898091E-3	-1.881034E-1
6.711900E+1	5.928134E+0	6.093846E+0	2.988386E+0	1.657118E-1	5.983372E+0	-9.837823E-6	-9.902135E-3	4.304879E-3	-3.935129E-1
6.823600E+1	5.980983E+0	6.097098E+0	2.988191E+0	1.161151E-1	6.019688E+0	-9.069172E-6	-9.902379E-3	3.636773E-3	-3.627669E-1
6.935500E+1	5.980859E+0	6.093962E+0	2.988360E+0	1.131033E-1	6.018560E+0	-6.034320E-6	-9.902379E-3	3.656529E-3	-2.413728E-1
7.047300E+1	5.980769E+0	6.097156E+0	2.988324E+0	1.163863E-1	6.019565E+0	-4.442687E-6	-9.902379E-3	3.658715E-3	-1.777075E-1
7.158900E+1	5.981001E+0	6.097126E+0	2.988289E+0	1.161254E-1	6.019709E+0	-1.287400E-5	-9.902135E-3	3.721195E-3	-5.149599E-1
7.271100E+1	5.982227E+0	6.096694E+0	2.988306E+0	1.144666E-1	6.020383E+0	-8.612554E-6	-9.906766E-3	3.831810E-3	-3.445022E-1
7.383900E+1	5.982218E+0	6.094536E+0	2.988324E+0	1.123177E-1	6.019658E+0	-4.726188E-6	-9.915782E-3	4.031833E-3	-1.890475E-1
7.496600E+1	5.982351E+0	6.098074E+0	2.988243E+0	1.157230E-1	6.020926E+0	-5.981302E-6	-9.929673E-3	4.301640E-3	-2.392521E-1
7.609500E+1	6.035788E+0	6.094421E+0	2.988315E+0	5.863284E-2	6.055332E+0	-1.212235E-5	-9.948437E-3	3.441966E-3	-4.848939E-1
7.722100E+1	6.035726E+0	6.097845E+0	2.988137E+0	6.211930E-2	6.056432E+0	-6.174759E-6	-9.971344E-3	3.532495E-3	-2.469904E-1
7.833900E+1	6.035619E+0	6.094335E+0	2.988235E+0	5.871579E-2	6.055191E+0	-3.703399E-6	-9.999124E-3	3.681729E-3	-1.481360E-1
7.946300E+1	6.035246E+0	6.096954E+0	2.988128E+0	6.170733E-2	6.055815E+0	-1.327632E-5	-1.003178E-2	3.908055E-3	-5.310529E-1
