Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
1.871000E+0	5.603831E+1	5.598540E+1	9.897010E+0	-5.290317E-2	5.602067E+1	2.386370E-7	-4.894617E-5	3.372494E-4	9.523288E-3
2.988000E+0	5.606184E+1	5.597976E+1	9.949804E+0	-8.207916E-2	5.603448E+1	5.032148E-6	-1.027146E-4	6.523942E-4	2.008179E-1
4.109000E+0	5.614420E+1	5.615691E+1	9.948586E+0	1.271770E-2	5.614843E+1	-7.042754E-6	-1.381584E-4	1.947072E-4	-2.810552E-1
5.232000E+0	5.619815E+1	5.615145E+1	9.949554E+0	-4.670431E-2	5.618258E+1	-7.022574E-6	-1.755311E-4	1.307552E-4	-2.802499E-1
6.410000E+0	5.625152E+1	5.615631E+1	1.000372E+1	-9.521304E-2	5.621978E+1	-1.075929E-5	-2.179672E-4	7.066131E-5	-4.293710E-1
7.531000E+0	5.630513E+1	5.632955E+1	1.000226E+1	2.441812E-2	5.631327E+1	-1.719438E-5	-2.191727E-4	4.505182E-5	-6.861759E-1
8.646000E+0	5.635866E+1	5.632907E+1	1.000374E+1	-2.959546E-2	5.634880E+1	-1.133469E-5	-2.191727E-4	1.388343E-4	-4.523333E-1
9.763000E+0	5.641220E+1	5.632987E+1	1.000249E+1	-8.233270E-2	5.638476E+1	-8.738183E-6	-2.191727E-4	-1.899873E-4	-3.487147E-1
1.088200E+1	5.646489E+1	5.632429E+1	1.000370E+1	-1.405959E-1	5.641802E+1	-1.829392E-5	-2.191727E-4	-7.579077E-4	-7.300555E-1
1.199500E+1	5.646513E+1	5.632990E+1	1.000368E+1	-1.352254E-1	5.642005E+1	-1.211942E-5	-2.191727E-4	-7.437325E-4	-4.836496E-1
1.311500E+1	5.646437E+1	5.632639E+1	1.000369E+1	-1.379768E-1	5.641838E+1	-9.337931E-6	-2.191727E-4	-6.569449E-4	-3.726488E-1
1.423100E+1	5.646515E+1	5.632986E+1	1.000334E+1	-1.352804E-1	5.642005E+1	-1.370870E-5	-2.191727E-4	-5.217355E-4	-5.470733E-1
1.534600E+1	5.651744E+1	5.632987E+1	1.005426E+1	-1.875726E-1	5.645492E+1	-2.085341E-5	-2.191727E-4	-1.160260E-3	-8.321971E-1
1.646700E+1	5.651848E+1	5.650138E+1	1.000374E+1	-1.709381E-2	5.651278E+1	-1.766029E-5	-1.943380E-4	-1.341815E-3	-7.047691E-1
