Sample	_	Peff	inelastic strain	total strain	__i	post-deformation porosity	k0 [m2]	ke [m2]
EB-8	0.0519237614034654	10	0.00725498	0.00725498	-0.011459468	0.0633832294034654	7.3079E-17	5.1042752285398E-16
EB-9	0.0494424979593451	10	0.10881649	0.10881649	-0.037939712	0.0873822099593451	8.1439E-17	3.6604113366749E-15
EB-10	0.0479500601080599	10	0.04924707	0.04924707	-0.028484921	0.0764349811080599	7.0815E-17	8.2022709060199E-15
EB-11	0.0485124781934840	10	0.01939869	0.01939869	-0.023354100	0.0718665781934840	8.0157E-17	3.3244429845725E-15
EB-12	0.0451172252369015	10	0.08961460	0.08961460	-0.036043558	0.0811607832369015	5.7018E-17	8.0940263986697E-15
EB-13	0.0461133880841186	10	0.08989772	0.08989772	-0.030407187	0.0765205750841186	7.4718E-17	6.1297298844623E-14
EZ-2	0.0787798086353817	10	0.00269866	0.02000000	-0.001553931	0.0803337396353817	2.9815E-16	2.2296708760704E-15
EZ-3	0.0729016629298706	10	0.11391263	0.12000000	-0.025536933	0.0984385959298706	2.9718E-16	3.3565153301275E-13
EZ-5	0.0813825693806394	10	0.01439045	0.04000000	-0.008664570	0.0900471393806394	2.0471E-16	2.5484884627392E-14
EZ-6	0.0782879179345925	10	0.05523541	0.06000000	-0.016198115	0.0944860329345925	3.8580E-16	2.2368194416835E-14
EZ-7	0.0894688852838319	10	0.07464516	0.08000000	-0.017938897	0.1074077822838320	5.2219E-16	9.1907262996920E-14
EZ-9	0.0795744340119430	30	0.01178887	0.02000000	-0.001275319	0.0808497526119430	4.0535E-16	2.5780862384745E-15
EZ-11	0.0734389878208313	10	0.03467181	0.06000000	-0.015718430	0.0891574178208313	3.0836E-16	4.2916667662005E-14
EZ-12	0.0852997695976346	10	0.09240787	0.10000000	-0.035076916	0.1203766855976350	3.9464E-16	9.9108027750248E-14
EZ-13	0.0780638596145965	10	0.00163407	0.01000000	0.000125588	0.0779382712145965	1.9480E-16	2.0729177212801E-16
KA-2	0.1320831421633560	10	0.01224677	0.01224677	-0.005353625	0.1374367671633560	1.1203E-16	4.2665517011115E-17
KA-3	0.1409790404452860	50	0.04920424	0.04920424	-0.000858947	0.1418379874452860	1.3508E-16	6.1634045107058E-16
KA-4	0.1427051316394950	10	0.03476382	0.03476382	-0.006544437	0.1492495682394950	1.3508E-16	5.2071721397473E-15
KA-5	0.1491575901445770	10	0.05284809	0.05284809	-0.015055995	0.1642135851445770	1.3216E-16	7.2488881022979E-17
KA-6	0.1507134565881950	10	0.02439888	0.02439888	-0.007382038	0.1580954945881950	1.1085E-16	1.2061853563070E-15
KA-7	0.1220252499649130	70	0.04621529	0.04621529	0.002890421	0.1191348290649130	1.1408E-16	7.3879338012067E-15
KA-9	0.1267908625250030	10	0.11378121	0.11378121	-0.017602442	0.1443933045250030	7.7588E-17	9.1129657270141E-14
KA-12	0.1211296886113170	30	0.05228935	0.05228935	-0.002667352	0.1237970406113170	5.3510E-17	5.5727695964152E-14
R10-3	0.1552804155972910	10	0.01550100	0.01550100	-0.000890000	0.1561704155972910	2.1632E-15	2.8899027825077E-15
R10-4	0.1500170118995770	50	0.01452700	0.01452700	0.006626000	0.1433910118995770	1.4676E-15	3.0600000000000E-16
R10-5	0.1398396225356910	50	0.02354400	0.02354400	0.007530000	0.1323096225356910	1.2594E-15	2.2100000000000E-16
R10-6	0.1469037862032770	50	0.03360300	0.03360300	0.011693000	0.1352107862032770	1.3914E-15	1.9000000000000E-16
R10-7	0.1430406072228060	10	0.05476700	0.05476700	-0.006620000	0.1496606072228060	1.8213E-15	1.9700000000000E-15
R10-9	0.1475184481555880	50	0.05331900	0.05331900	0.013949000	0.1335694481555880	1.2326E-15	4.9000000000000E-17
R10-10	0.1612051616955770	10	0.02508900	0.02508900	-0.001660000	0.1628651616955770	7.7888E-16	6.3500000000000E-16
R10-11	0.1554912917743510	10	0.03508500	0.03508500	-0.001340000	0.1568312917743510	8.6881E-16	1.4000000000000E-15
R10-12	0.1798816771676950	50	0.11153500	0.11153500	0.027904000	0.1519776771676950	1.7229E-15	8.0500000000000E-16
